api_time,greenpower,default_scheduler,default_limit_scheduler,green_scheduler_without_prediction,green_scheduler_with_prediction(Early15Min)
T07:00:00+10:00,11.56626506,1072,993,531,488
T07:00:00+10:00,11.56626506,1049,973,526,489
T07:00:00+10:00,11.56626506,1073,1003,535,472
T07:00:00+10:00,11.56626506,1080,1001,522,483
T07:00:00+10:00,11.56626506,1099,992,495,475
T07:00:00+10:00,11.56626506,1026,980,490,466
T07:00:00+10:00,11.56626506,1022,979,493,471
T07:00:00+10:00,11.56626506,1035,993,502,473
T07:00:00+10:00,11.56626506,1015,1013,507,515
T07:00:00+10:00,11.56626506,1023,998,498,527
T07:00:00+10:00,11.56626506,992,1015,512,517
T07:00:00+10:00,11.56626506,998,1005,515,518
T07:00:00+10:00,11.56626506,999,1013,511,515
T07:00:00+10:00,11.56626506,986,1011,511,517
T07:05:00+10:00,7.710843373,993,1005,529,525
T07:05:00+10:00,7.710843373,980,982,519,537
T07:05:00+10:00,7.710843373,999,987,518,525
T07:05:00+10:00,7.710843373,1079,990,526,530
T07:05:00+10:00,7.710843373,1050,992,522,533
T07:05:00+10:00,7.710843373,1025,1062,523,538
T07:05:00+10:00,7.710843373,1052,1069,541,537
T07:05:00+10:00,7.710843373,1072,1063,537,554
T07:05:00+10:00,7.710843373,1117,1072,536,539
T07:05:00+10:00,7.710843373,1068,1081,540,522
T07:05:00+10:00,7.710843373,1122,1059,541,520
T07:05:00+10:00,7.710843373,1129,1007,542,495
T07:05:00+10:00,7.710843373,1214,1010,560,499
T07:05:00+10:00,7.710843373,1120,1004,516,509
T07:10:00+10:00,15.42168675,1007,1005,510,494
T07:10:00+10:00,15.42168675,1022,1027,507,501
T07:10:00+10:00,15.42168675,991,1016,508,498
T07:10:00+10:00,15.42168675,955,1017,507,511
T07:10:00+10:00,15.42168675,982,1005,498,506
T07:10:00+10:00,15.42168675,948,999,488,516
T07:10:00+10:00,15.42168675,972,996,487,505
T07:10:00+10:00,15.42168675,1067,1000,484,506
T07:10:00+10:00,15.42168675,1071,997,485,514
T07:10:00+10:00,15.42168675,1077,985,491,515
T07:10:00+10:00,15.42168675,1055,999,505,515
T07:10:00+10:00,15.42168675,1029,964,496,524
T07:10:00+10:00,15.42168675,997,982,512,511
T07:10:00+10:00,15.42168675,1011,1009,508,510
T07:10:00+10:00,34.69879518,968,988,513,500
T07:15:00+10:00,34.69879518,952,985,500,501
T07:15:00+10:00,34.69879518,925,1012,509,501
T07:15:00+10:00,34.69879518,940,982,497,503
T07:15:00+10:00,34.69879518,1018,1003,498,499
T07:15:00+10:00,34.69879518,1002,1029,494,503
T07:15:00+10:00,34.69879518,1007,1062,502,502
T07:15:00+10:00,34.69879518,1033,1081,492,497
T07:15:00+10:00,34.69879518,1028,1077,485,510
T07:15:00+10:00,34.69879518,1007,1069,480,502
T07:15:00+10:00,34.69879518,1022,1034,481,502
T07:15:00+10:00,34.69879518,1027,975,479,518
T07:15:00+10:00,34.69879518,999,968,475,517
T07:15:00+10:00,34.69879518,999,990,513,519
T07:15:00+10:00,96.38554217,1038,1000,515,515
T07:20:00+10:00,96.38554217,1035,979,522,511
T07:20:00+10:00,96.38554217,1021,974,519,512
T07:20:00+10:00,96.38554217,1048,1003,525,516
T07:20:00+10:00,96.38554217,1049,1040,531,512
T07:20:00+10:00,96.38554217,1082,984,522,516
T07:20:00+10:00,96.38554217,1058,1010,536,523
T07:20:00+10:00,96.38554217,1038,989,532,502
T07:20:00+10:00,96.38554217,1043,1005,524,463
T07:20:00+10:00,96.38554217,996,1027,533,498
T07:20:00+10:00,96.38554217,998,1035,519,496
T07:20:00+10:00,96.38554217,998,1039,513,500
T07:20:00+10:00,96.38554217,978,1051,513,498
T07:20:00+10:00,96.38554217,969,1047,512,506
T07:20:00+10:00,131.0843373,982,1046,513,488
T07:25:00+10:00,131.0843373,991,1004,515,493
T07:25:00+10:00,131.0843373,988,1028,534,486
T07:25:00+10:00,131.0843373,991,986,535,492
T07:25:00+10:00,131.0843373,1028,996,540,482
T07:25:00+10:00,131.0843373,1094,984,549,495
