api_time,greenpower,default_scheduler,default_limit_scheduler,green_scheduler_without_prediction,green_scheduler_with_prediction(Early15Min)
T00:00:00+10:00,0,728,996,331,331
T00:00:00+10:00,0,725,888,320,322
T00:00:00+10:00,0,731,907,334,331
T00:00:00+10:00,0,857,930,339,490
T00:00:00+10:00,0,885,936,473,522
T00:00:00+10:00,0,1000,1004,488,514
T00:00:00+10:00,0,1009,997,498,515
T00:00:00+10:00,0,1022,1045,500,516
T00:00:00+10:00,0,995,1047,492,519
T00:00:00+10:00,0,1004,1050,493,511
T00:00:00+10:00,0,1037,1070,496,506
T00:00:00+10:00,0,1040,1051,505,501
T00:05:00+10:00,0,1049,1034,508,506
T00:05:00+10:00,0,1053,1009,501,505
T00:05:00+10:00,0,1049,1014,511,504
T00:05:00+10:00,0,1107,1029,499,495
T00:05:00+10:00,0,1131,1004,505,503
T00:05:00+10:00,0,1077,1051,494,491
T00:05:00+10:00,0,1064,1041,500,493
T00:05:00+10:00,0,1080,1042,498,483
T00:05:00+10:00,0,1070,1043,500,502
T00:05:00+10:00,0,1028,1068,498,509
T00:05:00+10:00,0,1029,1042,511,496
T00:05:00+10:00,0,953,1060,513,487
T00:05:00+10:00,0,949,1041,509,489
T00:05:00+10:00,0,976,1052,506,489
T00:10:00+10:00,0,982,1047,510,504
T00:10:00+10:00,0,996,1035,526,519
T00:10:00+10:00,0,1018,1018,522,522
T00:10:00+10:00,0,963,1040,516,511
T00:10:00+10:00,0,1030,1027,515,512
T00:10:00+10:00,0,1022,1014,518,508
T00:10:00+10:00,0,1049,1006,509,510
T00:10:00+10:00,0,1051,969,506,523
T00:10:00+10:00,0,1058,979,527,522
T00:10:00+10:00,0,1045,979,516,510
T00:10:00+10:00,0,1031,1068,521,509
T00:10:00+10:00,0,1001,1071,524,508
T00:10:00+10:00,0,1002,1100,502,508
T00:10:00+10:00,0,1002,1101,508,516
T00:15:00+10:00,0,1028,1103,521,517
T00:15:00+10:00,0,1063,1099,509,506
T00:15:00+10:00,0,1060,1079,509,512
T00:15:00+10:00,0,1031,1052,513,497
T00:15:00+10:00,0,995,1051,526,486
T00:15:00+10:00,0,1004,1049,522,504
T00:15:00+10:00,0,1006,1036,525,508
T00:15:00+10:00,0,970,986,525,497
T00:15:00+10:00,0,987,999,522,526
T00:15:00+10:00,0,965,995,512,533
T00:15:00+10:00,0,986,1019,510,528
T00:15:00+10:00,0,1017,992,507,530
T00:15:00+10:00,0,1024,968,509,536
T00:15:00+10:00,0,1004,1010,505,524
T00:20:00+10:00,0,980,1023,511,496
T00:20:00+10:00,0,980,1020,496,499
T00:20:00+10:00,0,996,1020,469,504
T00:20:00+10:00,0,996,1057,505,498
T00:20:00+10:00,0,958,1006,520,521
T00:20:00+10:00,0,964,1030,517,506
T00:20:00+10:00,0,973,1051,516,524
T00:20:00+10:00,0,953,1054,505,526
T00:20:00+10:00,0,978,1060,507,527
T00:20:00+10:00,0,958,1058,511,530
T00:20:00+10:00,0,998,1039,509,534
T00:20:00+10:00,0,974,1060,503,523
T00:20:00+10:00,0,982,1039,501,522
T00:20:00+10:00,0,951,1046,493,511
T00:20:00+10:00,0,1015,1036,488,509
T00:25:00+10:00,0,997,1015,483,512
T00:25:00+10:00,0,999,1074,490,516
T00:25:00+10:00,0,1007,1028,485,479
T00:25:00+10:00,0,1011,1036,528,477
T00:25:00+10:00,0,996,1044,520,485
T00:25:00+10:00,0,954,1035,510,487
T00:25:00+10:00,0,940,1042,513,494
T00:25:00+10:00,0,958,1041,513,510
T00:25:00+10:00,0,970,1037,505,516
T00:25:00+10:00,0,993,1046,504,504
T00:25:00+10:00,0,1051,1047,498,510
T00:25:00+10:00,0,1055,1049,494,511
T00:25:00+10:00,0,1083,1037,503,504
T00:25:00+10:00,0,1023,1021,501,501
T00:30:00+10:00,0,1057,1013,504,508
T00:30:00+10:00,0,978,1033,512,495
T00:30:00+10:00,0,1074,1039,504,502
T00:30:00+10:00,0,1067,1058,506,502
