api_time,greenpower,default_scheduler,default_limit_scheduler,green_scheduler_without_prediction,green_scheduler_with_prediction(Early15Min)
T07:00:00+10:00,0,1072,993,508,507
T07:00:00+10:00,0,1049,973,497,504
T07:00:00+10:00,0,1073,1003,498,500
T07:00:00+10:00,0,1080,1001,501,513
T07:00:00+10:00,0,1099,992,478,499
T07:00:00+10:00,0,1026,980,485,498
T07:00:00+10:00,0,1022,979,493,496
T07:00:00+10:00,0,1035,993,486,503
T07:00:00+10:00,0,1015,1013,508,506
T07:00:00+10:00,0,1023,998,518,510
T07:00:00+10:00,0,992,1015,503,519
T07:00:00+10:00,0,998,1005,502,521
T07:00:00+10:00,0,999,1013,513,520
T07:00:00+10:00,0,986,1011,501,515
T07:05:00+10:00,0,993,1005,480,512
T07:05:00+10:00,0,980,982,487,523
T07:05:00+10:00,0,999,987,494,504
T07:05:00+10:00,0,1079,990,494,503
T07:05:00+10:00,0,1050,992,509,507
T07:05:00+10:00,0,1025,1062,498,517
T07:05:00+10:00,0,1052,1069,502,515
T07:05:00+10:00,0,1072,1063,501,522
T07:05:00+10:00,0,1117,1072,500,520
T07:05:00+10:00,0,1068,1081,493,519
T07:05:00+10:00,0,1122,1059,500,523
T07:05:00+10:00,0,1129,1007,504,519
T07:05:00+10:00,0,1214,1010,509,494
T07:05:00+10:00,0,1120,1004,515,490
T07:10:00+10:00,0,1007,1005,511,477
T07:10:00+10:00,0,1022,1027,509,477
T07:10:00+10:00,0,991,1016,506,472
T07:10:00+10:00,0,955,1017,518,479
T07:10:00+10:00,0,982,1005,505,495
T07:10:00+10:00,0,948,999,513,514
T07:10:00+10:00,0,972,996,508,500
T07:10:00+10:00,0,1067,1000,510,510
T07:10:00+10:00,0,1071,997,486,506
T07:10:00+10:00,0,1077,985,486,513
T07:10:00+10:00,0,1055,999,498,501
T07:10:00+10:00,0,1029,964,494,512
T07:10:00+10:00,0,997,982,493,491
T07:10:00+10:00,0,1011,1009,495,494
T07:10:00+10:00,0,968,988,547,501
T07:15:00+10:00,0,952,985,539,513
T07:15:00+10:00,0,925,1012,539,474
T07:15:00+10:00,0,940,982,539,491
T07:15:00+10:00,0,1018,1003,544,475
T07:15:00+10:00,0,1002,1029,543,472
T07:15:00+10:00,0,1007,1062,513,471
T07:15:00+10:00,0,1033,1081,507,513
T07:15:00+10:00,0,1028,1077,512,515
T07:15:00+10:00,0,1007,1069,513,523
T07:15:00+10:00,0,1022,1034,518,518
T07:15:00+10:00,0,1027,975,513,518
T07:15:00+10:00,0,999,968,507,518
T07:15:00+10:00,0,999,990,499,526
T07:15:00+10:00,0,1038,1000,500,521
T07:20:00+10:00,0,1035,979,501,535
T07:20:00+10:00,0,1021,974,497,526
T07:20:00+10:00,0,1048,1003,509,528
T07:20:00+10:00,0,1049,1040,527,523
T07:20:00+10:00,0,1082,984,522,516
T07:20:00+10:00,0,1058,1010,522,522
T07:20:00+10:00,0,1038,989,521,529
T07:20:00+10:00,0,1043,1005,527,518
T07:20:00+10:00,0,996,1027,510,517
T07:20:00+10:00,0,998,1035,522,512
T07:20:00+10:00,0,998,1039,511,516
T07:20:00+10:00,0,978,1051,505,501
T07:20:00+10:00,0,969,1047,511,509
T07:20:00+10:00,0,982,1046,503,516
T07:25:00+10:00,0,991,1004,496,514
T07:25:00+10:00,0,988,1028,498,534
T07:25:00+10:00,0,991,986,498,528
T07:25:00+10:00,0,1028,996,498,531
T07:25:00+10:00,0,1094,984,498,537
T07:25:00+10:00,0,1064,991,514,523
T07:25:00+10:00,0,1098,983,497,529
T07:25:00+10:00,0,1040,981,503,509
T07:25:00+10:00,0,1073,989,499,512
T07:25:00+10:00,0,1088,993,496,508
T07:25:00+10:00,0,1100,987,501,504
T07:25:00+10:00,0,1093,996,532,511
T07:25:00+10:00,0,1087,1006,512,483
T07:25:00+10:00,0,1106,1005,520,479
T07:25:00+10:00,0,1043,1000,515,489
T07:30:00+10:00,0,1059,1027,515,478
T07:30:00+10:00,0,1063,1014,505,489
T07:30:00+10:00,0,1049,981,519,483
T07:30:00+10:00,0,1057,985,516,487
T07:30:00+10:00,0,1066,993,526,484
T07:30:00+10:00,0,1090,985,511,489
T07:30:00+10:00,0,1068,961,514,512
T07:30:00+10:00,0,1081,1055,509,501
T07:30:00+10:00,0,1057,1051,513,509
T07:30:00+10:00,0,995,1081,497,521
T07:30:00+10:00,0,1027,1076,495,517
T07:30:00+10:00,0,905,1083,502,518
T07:30:00+10:00,0,961,1072,497,533
T07:30:00+10:00,0,996,1077,495,522
T07:35:00+10:00,9.2219024,940,1050,500,524
T07:35:00+10:00,9.2219024,922,1062,500,525
T07:35:00+10:00,9.2219024,907,1076,503,525
T07:35:00+10:00,9.2219024,927,1058,497,520
T07:35:00+10:00,9.2219024,936,1063,488,531
T07:35:00+10:00,9.2219024,932,1052,486,520
T07:35:00+10:00,9.2219024,965,1025,487,501
T07:35:00+10:00,9.2219024,986,1032,490,499
T07:35:00+10:00,9.2219024,1026,1057,495,496
T07:35:00+10:00,9.2219024,1039,1053,491,502
T07:35:00+10:00,9.2219024,1009,1048,522,514
T07:35:00+10:00,9.2219024,1022,1011,521,497
T07:35:00+10:00,9.2219024,1019,1043,522,493
T07:35:00+10:00,9.2219024,1064,1033,522,491
T07:40:00+10:00,27.6657056,947,1000,533,488
T07:40:00+10:00,27.6657056,1001,993,522,496
T07:40:00+10:00,27.6657056,998,1077,521,504
T07:40:00+10:00,27.6657056,1003,1136,525,536
T07:40:00+10:00,27.6657056,1021,1138,525,535
T07:40:00+10:00,27.6657056,1017,1150,523,535
T07:40:00+10:00,27.6657056,1057,1156,523,538
T07:40:00+10:00,27.6657056,1058,1125,505,537
T07:40:00+10:00,27.6657056,1041,1041,508,546
T07:40:00+10:00,27.6657056,1063,1028,509,524
T07:40:00+10:00,27.6657056,1020,1050,508,530
T07:40:00+10:00,27.6657056,1041,1026,518,529
T07:40:00+10:00,27.6657056,1010,1030,521,529
T07:40:00+10:00,27.6657056,1015,1037,499,527
T07:45:00+10:00,41.4985584,1013,994,494,514
T07:45:00+10:00,41.4985584,1013,1012,490,511
T07:45:00+10:00,41.4985584,1037,986,491,510
T07:45:00+10:00,41.4985584,964,1021,505,506
T07:45:00+10:00,41.4985584,952,983,505,503
T07:45:00+10:00,41.4985584,950,979,495,500
T07:45:00+10:00,41.4985584,946,997,492,477
T07:45:00+10:00,41.4985584,946,1026,496,473
T07:45:00+10:00,41.4985584,948,1030,492,474
T07:45:00+10:00,41.4985584,902,1021,502,486
T07:45:00+10:00,41.4985584,986,1000,519,478
T07:45:00+10:00,41.4985584,962,1057,516,487
T07:45:00+10:00,41.4985584,1055,1026,519,527
T07:45:00+10:00,41.4985584,1016,1046,520,528
T07:45:00+10:00,46.1095104,1083,1051,517,528
T07:50:00+10:00,46.1095104,1058,1050,530,525
T07:50:00+10:00,46.1095104,1090,1043,545,517
T07:50:00+10:00,46.1095104,1113,995,537,498
T07:50:00+10:00,46.1095104,1067,1025,533,496
T07:50:00+10:00,46.1095104,1000,1018,532,497
T07:50:00+10:00,46.1095104,964,1017,537,499
T07:50:00+10:00,46.1095104,904,998,532,509
T07:50:00+10:00,46.1095104,900,1002,524,508
