api_time,greenpower,default_default,default_limit,green_scheduler_without_prediction,green_scheduler_with_prediction(Early15Min)
T00:00:00+10:00,0,728,996,326,332
T00:00:00+10:00,0,725,888,326,330
T00:00:00+10:00,0,731,907,338,350
T00:00:00+10:00,0,857,930,426,470
T00:00:00+10:00,0,885,936,478,499
T00:00:00+10:00,0,1000,1004,482,488
T00:00:00+10:00,0,1009,997,501,490
T00:00:00+10:00,0,1022,1045,500,489
T00:00:00+10:00,0,995,1047,497,488
T00:00:00+10:00,0,1004,1050,508,473
T00:00:00+10:00,0,1037,1070,507,495
T00:00:00+10:00,0,1040,1051,498,490
T00:05:00+10:00,0,1049,1034,491,485
T00:05:00+10:00,0,1053,1009,493,489
T00:05:00+10:00,0,1049,1014,496,509
T00:05:00+10:00,0,1107,1029,492,515
T00:05:00+10:00,0,1131,1004,493,516
T00:05:00+10:00,0,1077,1051,490,522
T00:05:00+10:00,0,1064,1041,487,524
T00:05:00+10:00,0,1080,1042,490,519
T00:05:00+10:00,0,1070,1043,502,524
T00:05:00+10:00,0,1028,1068,506,530
T00:05:00+10:00,0,1029,1042,494,516
T00:05:00+10:00,0,953,1060,502,511
T00:05:00+10:00,0,949,1041,501,516
T00:05:00+10:00,0,976,1052,505,518
T00:10:00+10:00,0,982,1047,492,497
T00:10:00+10:00,0,996,1035,493,499
T00:10:00+10:00,0,1018,1018,481,501
T00:10:00+10:00,0,963,1040,488,501
T00:10:00+10:00,0,1030,1027,486,503
T00:10:00+10:00,0,1022,1014,485,497
T00:10:00+10:00,0,1049,1006,501,494
T00:10:00+10:00,0,1051,969,512,510
T00:10:00+10:00,0,1058,979,500,499
T00:10:00+10:00,0,1045,979,509,507
T00:10:00+10:00,0,1031,1068,504,504
T00:10:00+10:00,0,1001,1071,504,504
T00:10:00+10:00,0,1002,1100,504,498
T00:10:00+10:00,0,1002,1101,512,504
T00:15:00+10:00,0,1028,1103,508,495
T00:15:00+10:00,0,1063,1099,508,490
T00:15:00+10:00,0,1060,1079,514,498
T00:15:00+10:00,0,1031,1052,500,498
T00:15:00+10:00,0,995,1051,496,500
T00:15:00+10:00,0,1004,1049,491,511
T00:15:00+10:00,0,1006,1036,500,510
T00:15:00+10:00,0,970,986,490,504
T00:15:00+10:00,0,987,999,497,504
T00:15:00+10:00,0,965,995,499,509
T00:15:00+10:00,0,986,1019,497,496
T00:15:00+10:00,0,1017,992,494,510
T00:15:00+10:00,0,1024,968,506,495
T00:15:00+10:00,0,1004,1010,501,497
T00:20:00+10:00,0,980,1023,504,487
T00:20:00+10:00,0,980,1020,509,489
T00:20:00+10:00,0,996,1020,509,506
T00:20:00+10:00,0,996,1057,520,521
T00:20:00+10:00,0,958,1006,517,525
T00:20:00+10:00,0,964,1030,514,510
T00:20:00+10:00,0,973,1051,511,515
T00:20:00+10:00,0,953,1054,518,507
T00:20:00+10:00,0,978,1060,502,514
T00:20:00+10:00,0,958,1058,509,517
T00:20:00+10:00,0,998,1039,513,517
T00:20:00+10:00,0,974,1060,493,514
T00:20:00+10:00,0,982,1039,487,516
T00:20:00+10:00,0,951,1046,490,512
T00:20:00+10:00,0,1015,1036,478,508
T00:25:00+10:00,0,997,1015,481,512
T00:25:00+10:00,0,999,1074,499,508
T00:25:00+10:00,0,1007,1028,499,502
T00:25:00+10:00,0,1011,1036,496,508
T00:25:00+10:00,0,996,1044,502,504
T00:25:00+10:00,0,954,1035,502,510
T00:25:00+10:00,0,940,1042,501,513
T00:25:00+10:00,0,958,1041,519,512
T00:25:00+10:00,0,970,1037,514,487
T00:25:00+10:00,0,993,1046,521,493
T00:25:00+10:00,0,1051,1047,518,484
T00:25:00+10:00,0,1055,1049,518,461
T00:25:00+10:00,0,1083,1037,521,476
T00:25:00+10:00,0,1023,1021,513,507
T00:30:00+10:00,0,1057,1013,500,507
T00:30:00+10:00,0,978,1033,499,505
T00:30:00+10:00,0,1074,1039,509,508
T00:30:00+10:00,0,1067,1058,502,507
T00:30:00+10:00,0,1064,1035,501,515
T00:30:00+10:00,0,1042,1068,519,505
T00:30:00+10:00,0,1009,1074,511,510
T00:30:00+10:00,0,1010,1056,518,507
T00:30:00+10:00,0,995,1072,519,502
T00:30:00+10:00,0,991,1076,517,504
T00:30:00+10:00,0,982,1020,522,497
T00:30:00+10:00,0,983,1024,517,509
T00:30:00+10:00,0,1066,998,508,503
T00:30:00+10:00,0,1094,998,505,500
T00:35:00+10:00,0,1023,994,508,503
T00:35:00+10:00,0,1056,1036,514,509
T00:35:00+10:00,0,1052,1072,504,518
T00:35:00+10:00,0,1044,1069,510,522
T00:35:00+10:00,0,983,1078,508,520
T00:35:00+10:00,0,953,1087,517,525
T00:35:00+10:00,0,940,1064,512,521
T00:35:00+10:00,0,949,1042,514,517
T00:35:00+10:00,0,950,983,462,460
T00:35:00+10:00,0,973,979,471,459
T00:35:00+10:00,0,1003,1026,472,487
T00:35:00+10:00,0,1045,1014,467,496
T00:35:00+10:00,0,1061,1016,465,495
T00:35:00+10:00,0,1046,978,486,508
T00:35:00+10:00,0,1013,978,491,520
T00:40:00+10:00,0,948,1011,486,518
T00:40:00+10:00,0,991,1039,482,524
T00:40:00+10:00,0,994,1047,486,522
T00:40:00+10:00,0,1008,1037,487,522
T00:40:00+10:00,0,975,1048,502,535
T00:40:00+10:00,0,1010,1024,492,538
T00:40:00+10:00,0,1015,1006,497,535
T00:40:00+10:00,0,1102,946,490,535
T00:40:00+10:00,0,1081,973,490,532
T00:40:00+10:00,0,1099,1001,497,538
T00:40:00+10:00,0,1101,965,479,499
T00:40:00+10:00,0,1103,975,479,505
T00:40:00+10:00,0,989,990,473,501
T00:40:00+10:00,0,1018,998,471,497
T00:45:00+10:00,0,1054,988,483,496
T00:45:00+10:00,0,1056,996,494,483
T00:45:00+10:00,0,1038,987,505,467
T00:45:00+10:00,0,1043,1014,504,467
T00:45:00+10:00,0,1085,996,505,450
T00:45:00+10:00,0,1070,1013,512,447
T00:45:00+10:00,0,1018,996,505,478
T00:45:00+10:00,0,976,1031,535,499
T00:45:00+10:00,0,1019,1022,532,495
T00:45:00+10:00,0,988,995,543,501
T00:45:00+10:00,0,979,982,535,505
T00:45:00+10:00,0,1099,976,539,515
T00:45:00+10:00,0,1132,1064,521,504
T00:45:00+10:00,0,1120,1036,500,527
T00:50:00+10:00,0,1127,1043,507,536
T00:50:00+10:00,0,1048,1032,509,527
T00:50:00+10:00,0,1090,1040,511,537
T00:50:00+10:00,0,1002,1042,514,535
T00:50:00+10:00,0,1018,1026,516,515
T00:50:00+10:00,0,983,991,514,496
T00:50:00+10:00,0,962,1010,509,498
T00:50:00+10:00,0,976,991,514,501
T00:50:00+10:00,0,1014,1029,511,512
T00:50:00+10:00,0,1095,1046,506,506
T00:50:00+10:00,0,1003,1055,514,506
T00:50:00+10:00,0,1004,1049,510,503
T00:50:00+10:00,0,980,1036,512,516
T00:50:00+10:00,0,1062,1033,514,518
T00:55:00+10:00,0,1091,1034,510,529
T00:55:00+10:00,0,1036,1025,494,511
T00:55:00+10:00,0,1071,1043,493,512
T00:55:00+10:00,0,1060,1045,495,501
T00:55:00+10:00,0,1067,1042,490,489
T00:55:00+10:00,0,1046,1076,490,483
T00:55:00+10:00,0,1002,1050,495,503
T00:55:00+10:00,0,1018,1025,512,503
T00:55:00+10:00,0,1041,1013,502,493
T00:55:00+10:00,0,1023,1056,518,492
T00:55:00+10:00,0,985,1031,514,495
T00:55:00+10:00,0,1022,1031,519,497
T00:55:00+10:00,0,1017,1045,511,507
T00:55:00+10:00,0,1036,1056,526,505
T00:55:00+10:00,0,1063,1050,519,498
T01:00:00+10:00,0,1090,1049,523,501
T01:00:00+10:00,0,1132,1041,529,502
T01:00:00+10:00,0,1100,1044,529,503
T01:00:00+10:00,0,1030,1031,512,512
T01:00:00+10:00,0,1025,1024,522,523
T01:00:00+10:00,0,1048,1017,508,523
T01:00:00+10:00,0,961,1012,503,523
T01:00:00+10:00,0,982,1052,506,515
T01:00:00+10:00,0,1020,1068,521,525
T01:00:00+10:00,0,990,1050,518,508
T01:00:00+10:00,0,1046,1000,539,519
T01:00:00+10:00,0,1031,995,520,505
T01:00:00+10:00,0,1078,987,522,501
T01:00:00+10:00,0,1059,994,520,501
T01:05:00+10:00,0,1118,983,527,501
T01:05:00+10:00,0,1135,972,512,499
T01:05:00+10:00,0,1148,1065,524,501
T01:05:00+10:00,0,1124,1062,513,490
T01:05:00+10:00,0,1028,1080,513,498
T01:05:00+10:00,0,1026,1088,513,495
T01:05:00+10:00,0,961,1074,517,500
T01:05:00+10:00,0,975,1040,505,524
T01:05:00+10:00,0,957,1010,517,526
T01:05:00+10:00,0,984,1009,507,519
T01:05:00+10:00,0,1034,985,509,521
T01:05:00+10:00,0,985,1014,506,510
T01:05:00+10:00,0,1027,985,501,512
T01:05:00+10:00,0,1064,1025,478,507
T01:10:00+10:00,0,1036,1051,497,514
T01:10:00+10:00,0,980,1075,480,505
T01:10:00+10:00,0,972,1054,480,515
T01:10:00+10:00,0,938,1073,476,514
T01:10:00+10:00,0,963,1051,484,508
T01:10:00+10:00,0,1014,1016,488,516
T01:10:00+10:00,0,1021,1042,489,520
T01:10:00+10:00,0,978,1051,486,513
T01:10:00+10:00,0,1023,1084,483,517
T01:10:00+10:00,0,1015,1121,515,515
T01:10:00+10:00,0,1025,1071,519,504
T01:10:00+10:00,0,1024,1090,515,503
T01:10:00+10:00,0,994,1009,516,518
T01:10:00+10:00,0,977,1041,519,501
T01:10:00+10:00,0,965,1067,517,501
T01:15:00+10:00,0,1017,1049,491,506
T01:15:00+10:00,0,1025,1085,503,509
T01:15:00+10:00,0,1019,1080,493,510
T01:15:00+10:00,0,1000,1085,485,526
T01:15:00+10:00,0,1007,1068,489,516
T01:15:00+10:00,0,1003,1077,492,515
T01:15:00+10:00,0,914,1062,467,499
T01:15:00+10:00,0,941,1004,490,498
T01:15:00+10:00,0,943,988,477,492
T01:15:00+10:00,0,984,989,477,507
T01:15:00+10:00,0,1051,1010,475,484
T01:15:00+10:00,0,1118,976,508,481
T01:15:00+10:00,0,1030,971,518,496
T01:15:00+10:00,0,1064,1033,527,501
T01:20:00+10:00,0,1040,1033,529,513
T01:20:00+10:00,0,951,1022,532,535
T01:20:00+10:00,0,1021,1043,535,526
T01:20:00+10:00,0,981,1053,511,527
T01:20:00+10:00,0,979,1050,504,520
T01:20:00+10:00,0,985,1077,496,521
T01:20:00+10:00,0,960,1081,488,520
T01:20:00+10:00,0,999,1072,494,535
T01:20:00+10:00,0,972,1073,500,507
T01:20:00+10:00,0,974,1064,498,506
T01:20:00+10:00,0,964,1086,504,503
T01:20:00+10:00,0,933,1076,510,484
T01:20:00+10:00,0,1052,1069,506,484
T01:20:00+10:00,0,1052,1105,507,502
T01:25:00+10:00,0,1052,1122,509,495
T01:25:00+10:00,0,1053,1115,506,506
T01:25:00+10:00,0,1049,1043,500,508
T01:25:00+10:00,0,1070,1072,508,508
T01:25:00+10:00,0,946,1082,504,508
T01:25:00+10:00,0,934,1038,500,532
T01:25:00+10:00,0,896,1015,529,505
T01:25:00+10:00,0,993,1002,518,502
T01:25:00+10:00,0,992,1013,515,504
T01:25:00+10:00,0,994,983,519,500
T01:25:00+10:00,0,1029,977,520,502
T01:25:00+10:00,0,1113,972,514,505
T01:25:00+10:00,0,1087,994,528,484
T01:25:00+10:00,0,987,971,530,495
T01:30:00+10:00,0,990,974,531,498
T01:30:00+10:00,0,1026,1005,531,502
T01:30:00+10:00,0,1057,978,533,492
T01:30:00+10:00,0,1055,995,496,503
T01:30:00+10:00,0,1069,987,502,514
T01:30:00+10:00,0,1066,1054,500,514
T01:30:00+10:00,0,1069,1056,496,507
T01:30:00+10:00,0,970,1065,497,511
T01:30:00+10:00,0,966,1061,497,516
T01:30:00+10:00,0,957,1062,532,483
T01:30:00+10:00,0,978,1031,538,474
T01:30:00+10:00,0,1042,980,536,483
T01:30:00+10:00,0,965,997,534,491
T01:30:00+10:00,0,1054,998,549,487
T01:30:00+10:00,0,1006,1000,531,479
T01:35:00+10:00,0,1033,994,513,498
T01:35:00+10:00,0,1032,986,517,501
T01:35:00+10:00,0,1040,1008,510,497
T01:35:00+10:00,0,1015,1006,508,499
T01:35:00+10:00,0,1044,999,523,500
T01:35:00+10:00,0,1047,989,490,522
T01:35:00+10:00,0,1041,999,486,531
T01:35:00+10:00,0,1080,1051,494,522
T01:35:00+10:00,0,1083,1039,494,518
T01:35:00+10:00,0,1051,1024,495,521
T01:35:00+10:00,0,1038,1045,496,519
T01:35:00+10:00,0,1042,1029,500,540
T01:35:00+10:00,0,1051,1021,485,548
T01:35:00+10:00,0,1033,995,513,545
T01:40:00+10:00,0,1008,998,508,545
T01:40:00+10:00,0,953,996,508,548
T01:40:00+10:00,0,991,1002,523,539
T01:40:00+10:00,0,986,989,520,544
T01:40:00+10:00,0,982,1028,516,552
T01:40:00+10:00,0,995,1033,522,534
T01:40:00+10:00,0,1005,1017,521,539
T01:40:00+10:00,0,1003,1015,514,532
T01:40:00+10:00,0,1037,1015,506,495
T01:40:00+10:00,0,1019,1030,491,496
T01:40:00+10:00,0,1015,1029,480,508
T01:40:00+10:00,0,994,1038,483,498
T01:40:00+10:00,0,976,1017,483,501
T01:40:00+10:00,0,965,1035,481,511
T01:45:00+10:00,0,975,1027,513,519
T01:45:00+10:00,0,950,1027,501,514
T01:45:00+10:00,0,961,1037,511,526
T01:45:00+10:00,0,989,1024,515,517
T01:45:00+10:00,0,1055,1024,517,517
T01:45:00+10:00,0,1052,1049,492,519
T01:45:00+10:00,0,1043,1030,498,527
T01:45:00+10:00,0,1051,1017,491,528
T01:45:00+10:00,0,1014,1034,484,536
T01:45:00+10:00,0,1031,1003,493,533
T01:45:00+10:00,0,980,988,489,535
T01:45:00+10:00,0,984,978,507,542
T01:45:00+10:00,0,992,984,497,540
T01:45:00+10:00,0,977,990,501,523
T01:45:00+10:00,0,1021,993,500,530
T01:50:00+10:00,0,997,1019,503,523
T01:50:00+10:00,0,1074,1011,485,529
T01:50:00+10:00,0,1065,1028,496,527
T01:50:00+10:00,0,1068,1035,499,524
T01:50:00+10:00,0,1081,996,495,520
T01:50:00+10:00,0,1076,992,495,534
T01:50:00+10:00,0,988,1007,508,522
T01:50:00+10:00,0,986,1017,494,500
T01:50:00+10:00,0,971,1009,498,501
T01:50:00+10:00,0,974,1019,513,500
T01:50:00+10:00,0,1051,1010,505,497
T01:50:00+10:00,0,1030,1000,501,510
T01:50:00+10:00,0,1025,1012,510,499
T01:50:00+10:00,0,1040,1000,486,491
T01:55:00+10:00,0,1017,989,478,492
T01:55:00+10:00,0,1038,978,490,489
T01:55:00+10:00,0,970,997,481,496
T01:55:00+10:00,0,957,1012,483,496
T01:55:00+10:00,0,937,996,507,510
T01:55:00+10:00,0,927,1013,497,517
T01:55:00+10:00,0,905,1026,496,522
T01:55:00+10:00,0,885,1059,505,518
T01:55:00+10:00,0,911,1075,492,518
T01:55:00+10:00,0,948,1058,488,526
