time,real,predicted
T00:00:00+10:00,0,0
T00:05:00+10:00,0,0
T00:10:00+10:00,0,0
T00:15:00+10:00,0,0
T00:20:00+10:00,0,0
T00:25:00+10:00,0,0
T00:30:00+10:00,0,0
T00:35:00+10:00,0,0
T00:40:00+10:00,0,0
T00:45:00+10:00,0,0
T00:50:00+10:00,0,0
T00:55:00+10:00,0,0
T01:00:00+10:00,0,0
T01:05:00+10:00,0,0
T01:10:00+10:00,0,0
T01:15:00+10:00,0,0
T01:20:00+10:00,0,0
T01:25:00+10:00,0,0
T01:30:00+10:00,0,0
T01:35:00+10:00,0,0
T01:40:00+10:00,0,0
T01:45:00+10:00,0,0
T01:50:00+10:00,0,0
T01:55:00+10:00,0,0
T02:00:00+10:00,0,0
T02:05:00+10:00,0,0
T02:10:00+10:00,0,0
T02:15:00+10:00,0,0
T02:20:00+10:00,0,0
T02:25:00+10:00,0,0
T02:30:00+10:00,0,0
T02:35:00+10:00,0,0
T02:40:00+10:00,0,0
T02:45:00+10:00,0,0
T02:50:00+10:00,0,0
T02:55:00+10:00,0,0
T03:00:00+10:00,0,0
T03:05:00+10:00,0,0
T03:10:00+10:00,0,0
T03:15:00+10:00,0,0
T03:20:00+10:00,0,0
T03:25:00+10:00,0,0
T03:30:00+10:00,0,0
T03:35:00+10:00,0,0
T03:40:00+10:00,0,0
T03:45:00+10:00,0,0
T03:50:00+10:00,0,0
T03:55:00+10:00,0,0
T04:00:00+10:00,0,0
T04:05:00+10:00,0,0
T04:10:00+10:00,0,0
T04:15:00+10:00,0,0
T04:20:00+10:00,0,0
T04:25:00+10:00,0,0
T04:30:00+10:00,0,0
T04:35:00+10:00,0,0
T04:40:00+10:00,0,0
T04:45:00+10:00,0,0
T04:50:00+10:00,0,0
T04:55:00+10:00,0,0
T05:00:00+10:00,0,0
T05:05:00+10:00,0,0
T05:10:00+10:00,0,0
T05:15:00+10:00,0,0
T05:20:00+10:00,0,0
T05:25:00+10:00,0,0
T05:30:00+10:00,0,0
T05:35:00+10:00,0,0
T05:40:00+10:00,0,0
T05:45:00+10:00,0,0
T05:50:00+10:00,0,0
T05:55:00+10:00,0,0
T06:00:00+10:00,0,0
T06:05:00+10:00,0,0
T06:10:00+10:00,0,0
T06:15:00+10:00,0,0
T06:20:00+10:00,0,0
T06:25:00+10:00,0,0
T06:30:00+10:00,0,0
T06:35:00+10:00,0,0
T06:40:00+10:00,0,0
T06:45:00+10:00,0,0
T06:50:00+10:00,0,0
T06:55:00+10:00,0,0
T07:00:00+10:00,11.56626506,11.56626506
T07:05:00+10:00,7.710843373,7.710843373
T07:10:00+10:00,15.42168675,15.42168675
T07:15:00+10:00,34.69879518,34.69879518
T07:20:00+10:00,96.38554217,96.38554217
T07:25:00+10:00,131.0843373,131.0843373
T07:30:00+10:00,158.0722892,158.0722892
T07:35:00+10:00,173.4939759,173.4939759
T07:40:00+10:00,185.060241,185.060241
T07:45:00+10:00,320,320
T07:50:00+10:00,146.5060241,146.5060241
T07:55:00+10:00,339.2771084,339.2771084
T08:00:00+10:00,331.5662651,331.5662651
T08:05:00+10:00,381.686747,381.686747
T08:10:00+10:00,493.4939759,493.4939759
T08:15:00+10:00,609.1566265,609.1566265
T08:20:00+10:00,578.313253,578.313253
T08:25:00+10:00,551.3253012,551.3253012
T08:30:00+10:00,763.373494,763.373494
T08:35:00+10:00,763.373494,763.373494
T08:40:00+10:00,728.6746988,728.6746988
T08:45:00+10:00,828.9156627,828.9156627
T08:50:00+10:00,855.9036145,855.9036145
T08:55:00+10:00,867.4698795,867.4698795
T09:00:00+10:00,940.7228916,940.7228916
T09:05:00+10:00,786.5060241,786.5060241
T09:10:00+10:00,963.8554217,963.8554217
T09:15:00+10:00,1025.542169,1025.542169
T09:20:00+10:00,1056.385542,1056.385542
T09:25:00+10:00,1087.228916,1087.228916
T09:30:00+10:00,1129.638554,1129.638554
T09:35:00+10:00,1156.626506,1156.626506
T09:40:00+10:00,1137.349398,1137.349398
T09:45:00+10:00,1183.614458,1183.614458
T09:50:00+10:00,1187.46988,1187.46988
T09:55:00+10:00,1310.843373,1310.843373
T10:00:00+10:00,516.626506,516.626506
T10:05:00+10:00,439.5180723,439.5180723
T10:10:00+10:00,1141.204819,1141.204819
T10:15:00+10:00,728.6746988,728.6746988
T10:20:00+10:00,416.3855422,416.3855422
