time,real,predicted
T00:00:00+10:00,0,0
T00:05:00+10:00,0,0
T00:10:00+10:00,0,0
T00:15:00+10:00,0,0
T00:20:00+10:00,0,0
T00:25:00+10:00,0,0
T00:30:00+10:00,0,0
T00:35:00+10:00,0,0
T00:40:00+10:00,0,0
T00:45:00+10:00,0,0
T00:50:00+10:00,0,0
T00:55:00+10:00,0,0
T01:00:00+10:00,0,0
T01:05:00+10:00,0,0
T01:10:00+10:00,0,0
T01:15:00+10:00,0,0
T01:20:00+10:00,0,0
T01:25:00+10:00,0,0
T01:30:00+10:00,0,0
T01:35:00+10:00,0,0
T01:40:00+10:00,0,0
T01:45:00+10:00,0,0
T01:50:00+10:00,0,0
T01:55:00+10:00,0,0
T02:00:00+10:00,0,0
T02:05:00+10:00,0,0
T02:10:00+10:00,0,0
T02:15:00+10:00,0,0
T02:20:00+10:00,0,0
T02:25:00+10:00,0,0
T02:30:00+10:00,0,0
T02:35:00+10:00,0,0
T02:40:00+10:00,0,0
T02:45:00+10:00,0,0
T02:50:00+10:00,0,0
T02:55:00+10:00,0,0
T03:00:00+10:00,0,0
T03:05:00+10:00,0,0
T03:10:00+10:00,0,0
T03:15:00+10:00,0,0
T03:20:00+10:00,0,0
T03:25:00+10:00,0,0
T03:30:00+10:00,0,0
T03:35:00+10:00,0,0
T03:40:00+10:00,0,0
T03:45:00+10:00,0,0
T03:50:00+10:00,0,0
T03:55:00+10:00,0,0
T04:00:00+10:00,0,0
T04:05:00+10:00,0,0
T04:10:00+10:00,0,0
T04:15:00+10:00,0,0
T04:20:00+10:00,0,0
T04:25:00+10:00,0,0
T04:30:00+10:00,0,0
T04:35:00+10:00,0,0
T04:40:00+10:00,0,0
T04:45:00+10:00,0,0
T04:50:00+10:00,0,0
T04:55:00+10:00,0,0
T05:00:00+10:00,0,0
T05:05:00+10:00,0,0
T05:10:00+10:00,0,0
T05:15:00+10:00,0,0
T05:20:00+10:00,0,0
T05:25:00+10:00,0,0
T05:30:00+10:00,0,0
T05:35:00+10:00,0,0
T05:40:00+10:00,0,0
T05:45:00+10:00,0,0
T05:50:00+10:00,0,0
T05:55:00+10:00,0,0
T06:00:00+10:00,0,0
T06:05:00+10:00,0,0
T06:10:00+10:00,0,0
T06:15:00+10:00,0,0
T06:20:00+10:00,0,3.393185353
T06:25:00+10:00,0,3.393185353
T06:30:00+10:00,0,3.393185353
T06:35:00+10:00,0,3.393185353
T06:40:00+10:00,0,3.393185353
T06:45:00+10:00,0,3.393185353
T06:50:00+10:00,0,3.393185353
T06:55:00+10:00,0,3.393185353
T07:00:00+10:00,0,3.393185353
T07:05:00+10:00,0,3.393185353
T07:10:00+10:00,0,3.393185353
T07:15:00+10:00,0,3.393185353
T07:20:00+10:00,0,185.9465573
T07:25:00+10:00,0,185.9465573
T07:30:00+10:00,0,185.9465573
T07:35:00+10:00,5.53314144,185.9465573
T07:40:00+10:00,16.59942336,185.9465573
T07:45:00+10:00,24.89913504,185.9465573
T07:50:00+10:00,27.66570624,185.9465573
T07:55:00+10:00,41.49855936,185.9465573
T08:00:00+10:00,58.09798272,185.9465573
T08:05:00+10:00,71.93083584,185.9465573
T08:10:00+10:00,85.76368896,185.9465573
T08:15:00+10:00,102.3631123,185.9465573
T08:20:00+10:00,118.9625357,412.0684292
T08:25:00+10:00,130.0288186,412.0684292
T08:30:00+10:00,163.2276653,412.0684292
T08:35:00+10:00,138.3285302,412.0684292
T08:40:00+10:00,154.9279536,412.0684292
T08:45:00+10:00,207.4927958,412.0684292
T08:50:00+10:00,229.6253606,412.0684292
T08:55:00+10:00,254.5244957,412.0684292
T09:00:00+10:00,298.7896253,412.0684292
T09:05:00+10:00,354.1210378,412.0684292
T09:10:00+10:00,406.685879,412.0684292
T09:15:00+10:00,450.9510086,412.0684292
T09:20:00+10:00,514.5821328,651.0844056
T09:25:00+10:00,561.6138326,651.0844056
T09:30:00+10:00,589.2795389,651.0844056
T09:35:00+10:00,614.1786738,651.0844056
T09:40:00+10:00,641.8443804,651.0844056
T09:45:00+10:00,661.2103746,651.0844056
T09:50:00+10:00,675.0432276,651.0844056
T09:55:00+10:00,694.4092212,651.0844056
T10:00:00+10:00,708.2420748,651.0844056
T10:05:00+10:00,730.3746396,651.0844056
T10:10:00+10:00,746.9740638,651.0844056
T10:15:00+10:00,763.5734868,651.0844056
