time,real,predicted
T00:00:00+10:00,0,0
T00:05:00+10:00,0,0
T00:10:00+10:00,0,0
T00:15:00+10:00,0,0
T00:20:00+10:00,0,0
T00:25:00+10:00,0,0
T00:30:00+10:00,0,0
T00:35:00+10:00,0,0
T00:40:00+10:00,0,0
T00:45:00+10:00,0,0
T00:50:00+10:00,0,0
T00:55:00+10:00,0,0
T01:00:00+10:00,0,0
T01:05:00+10:00,0,0
T01:10:00+10:00,0,0
T01:15:00+10:00,0,0
T01:20:00+10:00,0,0
T01:25:00+10:00,0,0
T01:30:00+10:00,0,0
T01:35:00+10:00,0,0
T01:40:00+10:00,0,0
T01:45:00+10:00,0,0
T01:50:00+10:00,0,0
T01:55:00+10:00,0,0
T02:00:00+10:00,0,0
T02:05:00+10:00,0,0
T02:10:00+10:00,0,0
T02:15:00+10:00,0,0
T02:20:00+10:00,0,0
T02:25:00+10:00,0,0
T02:30:00+10:00,0,0
T02:35:00+10:00,0,0
T02:40:00+10:00,0,0
T02:45:00+10:00,0,0
T02:50:00+10:00,0,0
T02:55:00+10:00,0,0
T03:00:00+10:00,0,0
T03:05:00+10:00,0,0
T03:10:00+10:00,0,0
T03:15:00+10:00,0,0
T03:20:00+10:00,0,0
T03:25:00+10:00,0,0
T03:30:00+10:00,0,0
T03:35:00+10:00,0,0
T03:40:00+10:00,0,0
T03:45:00+10:00,0,0
T03:50:00+10:00,0,0
T03:55:00+10:00,0,0
T04:00:00+10:00,0,0
T04:05:00+10:00,0,0
T04:10:00+10:00,0,0
T04:15:00+10:00,0,0
T04:20:00+10:00,0,0
T04:25:00+10:00,0,0
T04:30:00+10:00,0,0
T04:35:00+10:00,0,0
T04:40:00+10:00,0,0
T04:45:00+10:00,0,0
T04:50:00+10:00,0,0
T04:55:00+10:00,0,0
T05:00:00+10:00,0,0
T05:05:00+10:00,0,0
T05:10:00+10:00,0,0
T05:15:00+10:00,0,0
T05:20:00+10:00,0,0
T05:25:00+10:00,0,0
T05:30:00+10:00,0,0
T05:35:00+10:00,0,0
T05:40:00+10:00,0,0
T05:45:00+10:00,0,0
T05:50:00+10:00,0,0
T05:55:00+10:00,0,0
T06:00:00+10:00,0,0
T06:05:00+10:00,0,0
T06:10:00+10:00,0,0
T06:15:00+10:00,0,0
T06:20:00+10:00,0,7.917432489
T06:25:00+10:00,0,7.917432489
T06:30:00+10:00,0,7.917432489
T06:35:00+10:00,0,7.917432489
T06:40:00+10:00,0,7.917432489
T06:45:00+10:00,0,7.917432489
T06:50:00+10:00,0,7.917432489
T06:55:00+10:00,0,7.917432489
T07:00:00+10:00,0,7.917432489
T07:05:00+10:00,0,7.917432489
T07:10:00+10:00,0,7.917432489
T07:15:00+10:00,0,7.917432489
T07:20:00+10:00,0,433.8753005
T07:25:00+10:00,0,433.8753005
T07:30:00+10:00,0,433.8753005
T07:35:00+10:00,12.91066336,433.8753005
T07:40:00+10:00,38.73198784,433.8753005
T07:45:00+10:00,58.09798176,433.8753005
T07:50:00+10:00,64.55331456,433.8753005
T07:55:00+10:00,96.82997184,433.8753005
T08:00:00+10:00,135.5619597,433.8753005
T08:05:00+10:00,167.838617,433.8753005
T08:10:00+10:00,200.1152742,433.8753005
T08:15:00+10:00,238.8472621,433.8753005
T08:20:00+10:00,277.5792499,961.4930016
T08:25:00+10:00,303.4005766,961.4930016
T08:30:00+10:00,380.8645523,961.4930016
T08:35:00+10:00,322.7665706,961.4930016
T08:40:00+10:00,361.4985584,961.4930016
T08:45:00+10:00,484.149857,961.4930016
T08:50:00+10:00,535.7925082,961.4930016
T08:55:00+10:00,593.8904899,961.4930016
T09:00:00+10:00,697.1757923,961.4930016
T09:05:00+10:00,826.2824214,961.4930016
T09:10:00+10:00,948.9337178,961.4930016
T09:15:00+10:00,1052.21902,961.4930016
T09:20:00+10:00,1200.691643,1519.196946
T09:25:00+10:00,1310.432276,1519.196946
T09:30:00+10:00,1374.985591,1519.196946
T09:35:00+10:00,1433.083572,1519.196946
T09:40:00+10:00,1497.636888,1519.196946
T09:45:00+10:00,1542.824207,1519.196946
T09:50:00+10:00,1575.100864,1519.196946
T09:55:00+10:00,1620.288183,1519.196946
T10:00:00+10:00,1652.564841,1519.196946
T10:05:00+10:00,1704.207492,1519.196946
T10:10:00+10:00,1742.939482,1519.196946
T10:15:00+10:00,1781.671469,1519.196946
