api_time,greenpower,Early5Min,Early15Min,Early30Min,Early1Hour
T00:00:00+10:00,0,325,331,330,326
T00:00:00+10:00,0,329,322,336,329
T00:00:00+10:00,0,333,331,333,342
T00:00:00+10:00,0,441,490,392,494
T00:00:00+10:00,0,466,522,477,510
T00:00:00+10:00,0,463,514,476,513
T00:00:00+10:00,0,468,515,483,513
T00:00:00+10:00,0,461,516,483,513
T00:00:00+10:00,0,470,519,479,510
T00:00:00+10:00,0,478,511,494,511
T00:00:00+10:00,0,500,506,509,519
T00:00:00+10:00,0,496,501,501,515
T00:05:00+10:00,0,492,506,501,518
T00:05:00+10:00,0,496,505,503,517
T00:05:00+10:00,0,498,504,507,511
T00:05:00+10:00,0,511,495,510,499
T00:05:00+10:00,0,509,503,503,509
T00:05:00+10:00,0,509,491,498,494
T00:05:00+10:00,0,508,493,502,495
T00:05:00+10:00,0,508,483,498,493
T00:05:00+10:00,0,527,502,514,497
T00:05:00+10:00,0,535,509,532,503
T00:05:00+10:00,0,543,496,528,500
T00:05:00+10:00,0,531,487,522,486
T00:05:00+10:00,0,539,489,522,493
T00:05:00+10:00,0,536,489,523,484
T00:10:00+10:00,0,533,504,499,512
T00:10:00+10:00,0,535,519,517,526
T00:10:00+10:00,0,536,522,507,533
T00:10:00+10:00,0,528,511,503,522
T00:10:00+10:00,0,533,512,502,522
T00:10:00+10:00,0,523,508,506,511
T00:10:00+10:00,0,502,510,533,509
T00:10:00+10:00,0,502,523,542,508
T00:10:00+10:00,0,508,522,545,532
T00:10:00+10:00,0,496,510,535,522
T00:10:00+10:00,0,500,509,538,518
T00:10:00+10:00,0,498,508,505,507
T00:10:00+10:00,0,489,508,511,501
T00:10:00+10:00,0,484,516,519,522
T00:15:00+10:00,0,493,517,519,527
T00:15:00+10:00,0,491,506,508,520
T00:15:00+10:00,0,490,512,511,517
T00:15:00+10:00,0,480,497,494,514
T00:15:00+10:00,0,496,486,486,511
T00:15:00+10:00,0,501,504,490,504
T00:15:00+10:00,0,508,508,483,509
T00:15:00+10:00,0,495,497,473,493
T00:15:00+10:00,0,495,526,508,510
T00:15:00+10:00,0,485,533,528,517
T00:15:00+10:00,0,487,528,528,514
T00:15:00+10:00,0,493,530,542,528
T00:15:00+10:00,0,493,536,541,536
T00:15:00+10:00,0,486,524,529,524
T00:20:00+10:00,0,494,496,508,498
T00:20:00+10:00,0,497,499,493,500
T00:20:00+10:00,0,491,504,503,493
T00:20:00+10:00,0,528,498,515,492
T00:20:00+10:00,0,526,521,521,506
T00:20:00+10:00,0,516,506,505,483
T00:20:00+10:00,0,511,524,511,502
T00:20:00+10:00,0,510,526,515,498
T00:20:00+10:00,0,506,527,504,497
T00:20:00+10:00,0,517,530,514,500
T00:20:00+10:00,0,512,534,512,509
T00:20:00+10:00,0,509,523,515,512
T00:20:00+10:00,0,510,522,515,521
T00:20:00+10:00,0,521,511,517,532
T00:20:00+10:00,0,520,509,515,535
T00:25:00+10:00,0,525,512,525,544
T00:25:00+10:00,0,529,516,531,545
T00:25:00+10:00,0,535,479,499,512
T00:25:00+10:00,0,538,477,496,505
T00:25:00+10:00,0,536,485,511,499
T00:25:00+10:00,0,536,487,516,493
T00:25:00+10:00,0,547,494,514,499
T00:25:00+10:00,0,548,510,525,503
T00:25:00+10:00,0,536,516,507,495
T00:25:00+10:00,0,526,504,501,493
T00:25:00+10:00,0,517,510,489,491
T00:25:00+10:00,0,524,511,490,491
T00:25:00+10:00,0,528,504,489,502
T00:25:00+10:00,0,528,501,520,524
T00:30:00+10:00,0,512,508,531,513
T00:30:00+10:00,0,519,495,523,483
T00:30:00+10:00,0,515,502,522,483
T00:30:00+10:00,0,517,502,522,507
T00:30:00+10:00,0,517,497,527,512
T00:30:00+10:00,0,528,496,491,513
T00:30:00+10:00,0,520,498,474,511
T00:30:00+10:00,0,518,496,478,516
T00:30:00+10:00,0,523,494,476,514
T00:30:00+10:00,0,525,497,480,519
T00:30:00+10:00,0,532,492,490,535
T00:30:00+10:00,0,533,494,526,536
T00:30:00+10:00,0,511,496,513,523
T00:30:00+10:00,0,508,495,517,527
T00:35:00+10:00,0,503,493,516,530
T00:35:00+10:00,0,503,492,512,531
T00:35:00+10:00,0,500,516,504,547
T00:35:00+10:00,0,506,514,534,546
T00:35:00+10:00,0,509,522,515,540
T00:35:00+10:00,0,511,521,519,541
T00:35:00+10:00,0,511,517,518,544
T00:35:00+10:00,0,512,502,522,512
T00:35:00+10:00,0,517,498,510,514
T00:35:00+10:00,0,513,492,529,506
T00:35:00+10:00,0,511,486,522,498
T00:35:00+10:00,0,507,480,521,485
T00:35:00+10:00,0,504,487,522,482
T00:35:00+10:00,0,504,468,510,491
T00:35:00+10:00,0,502,494,500,503
T00:40:00+10:00,0,506,491,500,497
T00:40:00+10:00,0,503,486,494,490
T00:40:00+10:00,0,508,490,495,484
T00:40:00+10:00,0,502,486,494,491
T00:40:00+10:00,0,513,497,485,505
T00:40:00+10:00,0,518,499,494,516
T00:40:00+10:00,0,525,510,505,511
T00:40:00+10:00,0,507,497,491,504
T00:40:00+10:00,0,517,499,484,513
T00:40:00+10:00,0,514,499,488,517
T00:40:00+10:00,0,491,503,523,520
T00:40:00+10:00,0,484,504,528,522
T00:40:00+10:00,0,503,529,541,501
T00:40:00+10:00,0,504,516,531,507
T00:45:00+10:00,0,500,510,522,514
T00:45:00+10:00,0,499,526,498,502
T00:45:00+10:00,0,499,542,496,506
T00:45:00+10:00,0,499,529,504,520
T00:45:00+10:00,0,504,541,524,511
T00:45:00+10:00,0,492,513,505,514
T00:45:00+10:00,0,492,507,502,515
T00:45:00+10:00,0,500,514,538,527
T00:45:00+10:00,0,505,521,536,525
T00:45:00+10:00,0,491,520,536,520
T00:45:00+10:00,0,517,532,554,525
T00:45:00+10:00,0,501,521,537,530
T00:45:00+10:00,0,500,512,528,514
T00:45:00+10:00,0,493,504,517,515
T00:50:00+10:00,0,491,502,525,515
T00:50:00+10:00,0,491,503,514,516
T00:50:00+10:00,0,504,514,533,513
T00:50:00+10:00,0,491,502,515,499
T00:50:00+10:00,0,490,515,502,502
T00:50:00+10:00,0,512,520,496,502
T00:50:00+10:00,0,523,525,497,503
T00:50:00+10:00,0,525,522,501,501
T00:50:00+10:00,0,529,526,515,517
T00:50:00+10:00,0,523,522,501,516
T00:50:00+10:00,0,520,528,509,522
T00:50:00+10:00,0,525,527,493,531
T00:50:00+10:00,0,516,530,517,534
T00:50:00+10:00,0,516,529,517,533
T00:55:00+10:00,0,525,527,536,535
T00:55:00+10:00,0,515,514,508,500
T00:55:00+10:00,0,493,502,513,500
T00:55:00+10:00,0,495,507,509,485
T00:55:00+10:00,0,504,509,499,483
T00:55:00+10:00,0,510,512,496,484
T00:55:00+10:00,0,505,516,513,474
T00:55:00+10:00,0,502,496,536,513
T00:55:00+10:00,0,513,499,531,507
T00:55:00+10:00,0,513,513,533,509
T00:55:00+10:00,0,515,518,535,516
T00:55:00+10:00,0,509,516,537,517
T00:55:00+10:00,0,511,529,539,503
T00:55:00+10:00,0,514,539,503,508
T00:55:00+10:00,0,516,538,511,502
T01:00:00+10:00,0,517,543,512,502
T01:00:00+10:00,0,521,536,510,497
T01:00:00+10:00,0,519,539,509,485
T01:00:00+10:00,0,521,485,531,521
T01:00:00+10:00,0,522,483,530,525
T01:00:00+10:00,0,521,470,524,528
T01:00:00+10:00,0,517,474,525,531
T01:00:00+10:00,0,516,478,524,536
T01:00:00+10:00,0,514,474,525,529
T01:00:00+10:00,0,504,483,518,524
T01:00:00+10:00,0,501,490,505,527
T01:00:00+10:00,0,499,485,498,521
T01:00:00+10:00,0,494,487,498,519
T01:00:00+10:00,0,480,485,497,533
T01:05:00+10:00,0,480,486,488,496
T01:05:00+10:00,0,523,517,489,505
T01:05:00+10:00,0,524,532,491,491
T01:05:00+10:00,0,531,521,487,494
T01:05:00+10:00,0,542,521,482,489
T01:05:00+10:00,0,542,522,483,467
T01:05:00+10:00,0,544,478,504,505
T01:05:00+10:00,0,512,486,515,514
T01:05:00+10:00,0,518,493,526,509
T01:05:00+10:00,0,514,482,528,507
T01:05:00+10:00,0,513,479,527,498
T01:05:00+10:00,0,519,481,532,501
T01:05:00+10:00,0,514,492,531,493
T01:05:00+10:00,0,524,497,531,511
T01:10:00+10:00,0,531,504,532,494
T01:10:00+10:00,0,525,493,514,493
T01:10:00+10:00,0,511,490,521,502
T01:10:00+10:00,0,516,493,518,501
T01:10:00+10:00,0,520,506,507,503
T01:10:00+10:00,0,520,504,497,524
T01:10:00+10:00,0,519,514,502,508
T01:10:00+10:00,0,527,503,495,508
T01:10:00+10:00,0,525,502,494,506
T01:10:00+10:00,0,529,504,490,539
T01:10:00+10:00,0,491,504,495,542
T01:10:00+10:00,0,491,512,497,550
T01:10:00+10:00,0,505,512,504,545
T01:10:00+10:00,0,492,511,492,542
T01:10:00+10:00,0,495,510,494,539
T01:15:00+10:00,0,488,519,506,512
T01:15:00+10:00,0,491,516,513,508
T01:15:00+10:00,0,488,522,518,511
T01:15:00+10:00,0,500,527,516,497
T01:15:00+10:00,0,485,521,511,509
T01:15:00+10:00,0,485,516,515,512
T01:15:00+10:00,0,507,506,480,515
T01:15:00+10:00,0,508,509,483,511
T01:15:00+10:00,0,510,501,469,524
T01:15:00+10:00,0,519,496,480,507
T01:15:00+10:00,0,505,497,476,504
T01:15:00+10:00,0,504,502,484,503
T01:15:00+10:00,0,511,499,493,498
T01:15:00+10:00,0,499,518,494,513
T01:20:00+10:00,0,487,514,491,524
T01:20:00+10:00,0,512,519,494,511
T01:20:00+10:00,0,505,515,491,509
T01:20:00+10:00,0,512,501,499,466
T01:20:00+10:00,0,512,496,494,493
T01:20:00+10:00,0,524,495,506,534
T01:20:00+10:00,0,533,494,505,536
T01:20:00+10:00,0,541,496,502,538
T01:20:00+10:00,0,529,509,503,538
T01:20:00+10:00,0,505,509,516,535
T01:20:00+10:00,0,490,514,516,527
T01:20:00+10:00,0,482,505,522,511
T01:20:00+10:00,0,483,505,523,502
T01:20:00+10:00,0,495,504,521,508
T01:25:00+10:00,0,487,499,510,507
T01:25:00+10:00,0,505,495,505,505
T01:25:00+10:00,0,502,507,507,506
T01:25:00+10:00,0,508,510,507,499
T01:25:00+10:00,0,508,508,504,501
T01:25:00+10:00,0,518,509,502,498
T01:25:00+10:00,0,503,516,518,505
T01:25:00+10:00,0,501,516,506,513
T01:25:00+10:00,0,507,511,518,500
T01:25:00+10:00,0,512,507,514,505
T01:25:00+10:00,0,503,508,516,509
T01:25:00+10:00,0,497,478,522,502
T01:25:00+10:00,0,481,474,528,502
T01:25:00+10:00,0,480,481,532,495
T01:30:00+10:00,0,477,489,521,496
T01:30:00+10:00,0,483,489,529,505
T01:30:00+10:00,0,480,487,521,502
T01:30:00+10:00,0,519,509,515,492
T01:30:00+10:00,0,505,511,520,492
T01:30:00+10:00,0,515,500,514,525
T01:30:00+10:00,0,514,506,519,527
T01:30:00+10:00,0,512,507,515,535
T01:30:00+10:00,0,516,502,513,528
T01:30:00+10:00,0,532,520,516,524
T01:30:00+10:00,0,524,529,525,519
T01:30:00+10:00,0,524,526,524,515
T01:30:00+10:00,0,508,526,518,523
T01:30:00+10:00,0,503,529,520,528
T01:30:00+10:00,0,511,519,507,534
T01:35:00+10:00,0,526,521,506,521
T01:35:00+10:00,0,510,523,506,538
T01:35:00+10:00,0,513,517,499,528
T01:35:00+10:00,0,526,522,504,533
T01:35:00+10:00,0,526,519,503,540
T01:35:00+10:00,0,501,517,519,545
T01:35:00+10:00,0,511,517,524,532
T01:35:00+10:00,0,491,506,531,507
T01:35:00+10:00,0,477,509,517,514
T01:35:00+10:00,0,453,507,520,511
T01:35:00+10:00,0,458,493,501,515
T01:35:00+10:00,0,500,494,477,525
T01:35:00+10:00,0,503,494,464,492
T01:35:00+10:00,0,506,510,472,469
T01:40:00+10:00,0,505,500,459,486
T01:40:00+10:00,0,508,495,459,488
T01:40:00+10:00,0,497,477,480,495
T01:40:00+10:00,0,509,476,486,504
T01:40:00+10:00,0,504,470,492,505
T01:40:00+10:00,0,500,476,501,508
T01:40:00+10:00,0,505,467,494,514
T01:40:00+10:00,0,505,479,492,511
T01:40:00+10:00,0,498,504,510,520
T01:40:00+10:00,0,496,514,505,515
T01:40:00+10:00,0,501,517,518,516
T01:40:00+10:00,0,496,532,525,504
T01:40:00+10:00,0,493,522,525,506
T01:40:00+10:00,0,492,501,514,503
T01:45:00+10:00,0,501,498,523,500
T01:45:00+10:00,0,493,498,527,509
T01:45:00+10:00,0,498,491,517,505
T01:45:00+10:00,0,497,504,520,498
T01:45:00+10:00,0,496,497,515,502
T01:45:00+10:00,0,495,483,506,502
T01:45:00+10:00,0,511,487,498,500
T01:45:00+10:00,0,485,488,499,497
T01:45:00+10:00,0,477,488,513,504
T01:45:00+10:00,0,482,501,501,504
T01:45:00+10:00,0,500,510,506,505
T01:45:00+10:00,0,496,515,511,505
T01:45:00+10:00,0,500,518,509,511
T01:45:00+10:00,0,497,513,509,499
T01:45:00+10:00,0,502,520,527,502
T01:50:00+10:00,0,499,526,513,504
T01:50:00+10:00,0,498,511,535,495
T01:50:00+10:00,0,492,513,529,501
T01:50:00+10:00,0,493,492,525,500
T01:50:00+10:00,0,493,503,532,533
T01:50:00+10:00,0,494,498,545,513
T01:50:00+10:00,0,502,507,533,519
T01:50:00+10:00,0,507,517,497,521
T01:50:00+10:00,0,507,519,507,520
T01:50:00+10:00,0,514,522,509,525
T01:50:00+10:00,0,512,533,500,535
T01:50:00+10:00,0,523,524,509,524
T01:50:00+10:00,0,514,514,497,523
T01:50:00+10:00,0,517,502,499,521
T01:55:00+10:00,0,510,506,502,521
T01:55:00+10:00,0,507,503,501,532
T01:55:00+10:00,0,508,516,500,550
T01:55:00+10:00,0,508,506,510,538
T01:55:00+10:00,0,516,515,503,537
T01:55:00+10:00,0,520,507,496,537
T01:55:00+10:00,0,522,503,500,524
T01:55:00+10:00,0,520,494,490,526
T01:55:00+10:00,0,513,507,493,533
T01:55:00+10:00,0,516,506,496,501
T01:55:00+10:00,0,499,519,510,519
T01:55:00+10:00,0,491,506,507,525
T01:55:00+10:00,0,508,501,497,530
T01:55:00+10:00,0,509,502,495,529
T02:00:00+10:00,0,511,505,498,547
T02:00:00+10:00,0,515,515,505,532
T02:00:00+10:00,0,513,513,486,531
T02:00:00+10:00,0,499,525,503,533
T02:00:00+10:00,0,500,528,498,534
T02:00:00+10:00,0,497,527,499,537
T02:00:00+10:00,0,492,540,502,540
T02:00:00+10:00,0,526,516,511,533
T02:00:00+10:00,0,522,511,505,528
T02:00:00+10:00,0,526,502,517,534
T02:00:00+10:00,0,527,510,506,518
T02:00:00+10:00,0,524,503,507,523
T02:00:00+10:00,0,531,506,505,531
T02:00:00+10:00,0,510,497,489,524
T02:05:00+10:00,0,510,511,465,529
T02:05:00+10:00,0,503,519,476,511
T02:05:00+10:00,0,507,519,464,515
T02:05:00+10:00,0,477,518,466,512
T02:05:00+10:00,0,471,517,491,526
T02:05:00+10:00,0,532,515,498,496
T02:05:00+10:00,0,528,518,494,499
T02:05:00+10:00,0,516,516,491,490
T02:05:00+10:00,0,519,514,481,492
T02:05:00+10:00,0,516,515,487,493
T02:05:00+10:00,0,512,508,512,503
T02:05:00+10:00,0,496,498,517,507
T02:05:00+10:00,0,511,505,522,497
T02:05:00+10:00,0,504,510,541,509
T02:05:00+10:00,0,499,500,530,507
T02:10:00+10:00,0,503,514,529,511
T02:10:00+10:00,0,514,519,514,531
T02:10:00+10:00,0,536,504,524,514
T02:10:00+10:00,0,539,489,496,491
T02:10:00+10:00,0,521,485,503,493
T02:10:00+10:00,0,517,486,493,491
T02:10:00+10:00,0,520,469,524,492
