api_time,greenpower,Early5Min,Early15Min,Early30Min,Early1Hour
T07:00:00+10:00,11.56626506,470,488,524,646
T07:00:00+10:00,11.56626506,470,489,516,644
T07:00:00+10:00,11.56626506,480,472,536,667
T07:00:00+10:00,11.56626506,484,483,524,632
T07:00:00+10:00,11.56626506,508,475,517,633
T07:00:00+10:00,11.56626506,505,466,516,622
T07:00:00+10:00,11.56626506,504,471,516,626
T07:00:00+10:00,11.56626506,512,473,520,619
T07:00:00+10:00,11.56626506,509,515,520,622
T07:00:00+10:00,11.56626506,516,527,511,620
T07:00:00+10:00,11.56626506,513,517,509,621
T07:00:00+10:00,11.56626506,509,518,512,642
T07:00:00+10:00,11.56626506,518,515,509,644
T07:00:00+10:00,11.56626506,513,517,511,647
T07:05:00+10:00,7.710843373,512,525,519,659
T07:05:00+10:00,7.710843373,500,537,505,655
T07:05:00+10:00,7.710843373,488,525,508,638
T07:05:00+10:00,7.710843373,489,530,505,642
T07:05:00+10:00,7.710843373,487,533,505,644
T07:05:00+10:00,7.710843373,491,538,505,655
T07:05:00+10:00,7.710843373,498,537,485,618
T07:05:00+10:00,7.710843373,521,554,475,625
T07:05:00+10:00,7.710843373,504,539,482,640
T07:05:00+10:00,7.710843373,506,522,477,649
T07:05:00+10:00,7.710843373,509,520,478,627
T07:05:00+10:00,7.710843373,508,495,484,609
T07:05:00+10:00,7.710843373,526,499,516,607
T07:05:00+10:00,7.710843373,526,509,512,613
T07:10:00+10:00,15.42168675,524,494,520,553
T07:10:00+10:00,15.42168675,518,501,511,555
T07:10:00+10:00,15.42168675,518,498,523,552
T07:10:00+10:00,15.42168675,523,511,508,611
T07:10:00+10:00,15.42168675,491,506,507,602
T07:10:00+10:00,15.42168675,499,516,501,578
T07:10:00+10:00,15.42168675,485,505,500,537
T07:10:00+10:00,15.42168675,487,506,501,550
T07:10:00+10:00,15.42168675,483,514,490,545
T07:10:00+10:00,15.42168675,490,515,518,539
T07:10:00+10:00,15.42168675,517,515,526,531
T07:10:00+10:00,15.42168675,534,524,520,555
T07:10:00+10:00,15.42168675,522,511,515,572
T07:10:00+10:00,15.42168675,525,510,511,575
T07:10:00+10:00,34.69879518,526,500,521,557
T07:15:00+10:00,34.69879518,516,501,512,573
T07:15:00+10:00,34.69879518,526,501,519,582
T07:15:00+10:00,34.69879518,529,503,508,574
T07:15:00+10:00,34.69879518,531,499,508,578
T07:15:00+10:00,34.69879518,526,503,514,576
T07:15:00+10:00,34.69879518,518,502,521,575
T07:15:00+10:00,34.69879518,497,497,528,560
T07:15:00+10:00,34.69879518,499,510,528,565
T07:15:00+10:00,34.69879518,502,502,527,568
T07:15:00+10:00,34.69879518,495,502,529,573
T07:15:00+10:00,34.69879518,504,518,532,574
T07:15:00+10:00,34.69879518,501,517,531,585
T07:15:00+10:00,34.69879518,512,519,536,582
T07:15:00+10:00,96.38554217,517,515,540,570
T07:20:00+10:00,96.38554217,517,511,535,574
T07:20:00+10:00,96.38554217,517,512,526,576
T07:20:00+10:00,96.38554217,513,516,532,570
T07:20:00+10:00,96.38554217,529,512,490,594
T07:20:00+10:00,96.38554217,534,516,484,600
T07:20:00+10:00,96.38554217,529,523,487,597
T07:20:00+10:00,96.38554217,534,502,484,599
T07:20:00+10:00,96.38554217,535,463,497,596
T07:20:00+10:00,96.38554217,522,498,492,596
T07:20:00+10:00,96.38554217,507,496,493,569
T07:20:00+10:00,96.38554217,507,500,500,572
T07:20:00+10:00,96.38554217,504,498,499,534
T07:20:00+10:00,96.38554217,506,506,496,539
T07:20:00+10:00,131.0843373,507,488,491,540
T07:25:00+10:00,131.0843373,529,493,511,540
T07:25:00+10:00,131.0843373,536,486,508,549
T07:25:00+10:00,131.0843373,535,492,515,563
T07:25:00+10:00,131.0843373,541,482,508,600
T07:25:00+10:00,131.0843373,539,495,515,604
T07:25:00+10:00,131.0843373,539,502,512,602
T07:25:00+10:00,131.0843373,516,502,510,613
T07:25:00+10:00,131.0843373,522,503,510,625
T07:25:00+10:00,131.0843373,514,503,517,621
T07:25:00+10:00,131.0843373,511,500,514,632
T07:25:00+10:00,131.0843373,515,493,504,639
T07:25:00+10:00,131.0843373,526,493,500,645
T07:25:00+10:00,131.0843373,507,491,504,636
T07:25:00+10:00,158.0722892,505,492,502,633
T07:25:00+10:00,158.0722892,505,494,509,649
T07:30:00+10:00,158.0722892,510,503,508,650
T07:30:00+10:00,158.0722892,508,507,658,650
T07:30:00+10:00,158.0722892,512,483,683,642
T07:30:00+10:00,158.0722892,542,487,681,637
T07:30:00+10:00,158.0722892,541,511,693,586
T07:30:00+10:00,158.0722892,545,515,711,586
T07:30:00+10:00,158.0722892,545,508,694,589
T07:30:00+10:00,158.0722892,549,500,670,581
T07:30:00+10:00,158.0722892,544,500,673,637
T07:30:00+10:00,158.0722892,511,499,676,619
T07:30:00+10:00,158.0722892,511,506,760,644
T07:30:00+10:00,158.0722892,514,511,701,654
T07:30:00+10:00,173.4939759,511,541,693,640
T07:30:00+10:00,173.4939759,507,526,668,634
T07:35:00+10:00,173.4939759,523,534,673,633
T07:35:00+10:00,173.4939759,503,530,676,638
T07:35:00+10:00,173.4939759,506,512,672,654
T07:35:00+10:00,173.4939759,504,512,681,669
T07:35:00+10:00,173.4939759,502,504,675,651
T07:35:00+10:00,173.4939759,503,493,657,658
T07:35:00+10:00,173.4939759,522,497,652,655
T07:35:00+10:00,173.4939759,517,481,648,633
T07:35:00+10:00,173.4939759,521,487,652,644
T07:35:00+10:00,173.4939759,520,483,660,642
T07:35:00+10:00,173.4939759,519,501,655,636
T07:35:00+10:00,173.4939759,517,490,651,613
T07:35:00+10:00,185.060241,526,517,650,614
T07:35:00+10:00,185.060241,521,505,659,632
T07:40:00+10:00,185.060241,520,502,657,629
T07:40:00+10:00,185.060241,522,484,657,641
T07:40:00+10:00,185.060241,528,484,681,637
T07:40:00+10:00,185.060241,516,482,668,639
T07:40:00+10:00,185.060241,515,487,628,635
T07:40:00+10:00,185.060241,517,456,618,616
T07:40:00+10:00,185.060241,515,451,625,625
T07:40:00+10:00,185.060241,517,491,680,620
T07:40:00+10:00,185.060241,532,500,687,636
T07:40:00+10:00,185.060241,544,494,664,626
T07:40:00+10:00,185.060241,546,519,654,646
T07:40:00+10:00,185.060241,546,516,680,644
T07:40:00+10:00,320,548,504,648,646
T07:40:00+10:00,320,546,494,635,648
T07:45:00+10:00,320,536,493,642,649
T07:45:00+10:00,320,537,494,624,636
T07:45:00+10:00,320,535,643,617,617
T07:45:00+10:00,320,540,639,618,632
T07:45:00+10:00,320,540,638,609,654
T07:45:00+10:00,320,540,648,647,645
T07:45:00+10:00,320,539,652,658,633
T07:45:00+10:00,320,535,675,651,660
T07:45:00+10:00,320,534,656,647,637
T07:45:00+10:00,320,533,653,650,602
T07:45:00+10:00,320,534,664,651,611
T07:45:00+10:00,320,509,656,601,607
T07:45:00+10:00,146.5060241,509,630,613,600
T07:45:00+10:00,146.5060241,507,602,611,626
T07:45:00+10:00,146.5060241,513,633,605,640
T07:50:00+10:00,146.5060241,506,636,614,640
T07:50:00+10:00,146.5060241,502,662,613,643
T07:50:00+10:00,146.5060241,537,665,629,630
T07:50:00+10:00,146.5060241,543,669,625,630
T07:50:00+10:00,146.5060241,545,659,614,638
T07:50:00+10:00,146.5060241,547,623,634,608
T07:50:00+10:00,146.5060241,548,645,605,609
T07:50:00+10:00,146.5060241,544,638,611,618
T07:50:00+10:00,146.5060241,526,651,625,630
T07:50:00+10:00,146.5060241,526,665,628,632
T07:50:00+10:00,146.5060241,525,660,629,665
T07:50:00+10:00,339.2771084,531,663,630,664
T07:50:00+10:00,339.2771084,533,662,633,656
T07:50:00+10:00,339.2771084,521,661,609,660
T07:55:00+10:00,339.2771084,516,645,606,643
T07:55:00+10:00,339.2771084,518,636,612,666
T07:55:00+10:00,339.2771084,518,633,614,679
T07:55:00+10:00,339.2771084,663,631,597,680
T07:55:00+10:00,339.2771084,680,639,595,686
T07:55:00+10:00,339.2771084,653,596,615,680
T07:55:00+10:00,339.2771084,660,598,613,679
T07:55:00+10:00,339.2771084,660,599,621,615
T07:55:00+10:00,339.2771084,682,647,629,608
T07:55:00+10:00,339.2771084,656,615,626,609
T07:55:00+10:00,339.2771084,665,588,628,765
T07:55:00+10:00,331.5662651,673,569,636,774
T07:55:00+10:00,331.5662651,680,596,674,777
T07:55:00+10:00,331.5662651,674,570,661,773
T08:00:00+10:00,331.5662651,676,572,672,788
T08:00:00+10:00,331.5662651,677,588,654,787
T08:00:00+10:00,331.5662651,685,574,679,789
T08:00:00+10:00,331.5662651,667,587,681,783
T08:00:00+10:00,331.5662651,664,577,691,806
T08:00:00+10:00,331.5662651,668,569,683,802
T08:00:00+10:00,331.5662651,669,568,706,797
T08:00:00+10:00,331.5662651,649,600,690,815
T08:00:00+10:00,331.5662651,662,588,671,805
T08:00:00+10:00,331.5662651,655,586,668,805
T08:00:00+10:00,331.5662651,667,584,673,833
T08:00:00+10:00,381.686747,667,588,666,853
T08:00:00+10:00,381.686747,668,591,656,849
T08:00:00+10:00,381.686747,653,573,642,849
T08:00:00+10:00,381.686747,657,567,638,855
T08:05:00+10:00,381.686747,672,573,645,853
T08:05:00+10:00,381.686747,653,575,656,828
T08:05:00+10:00,381.686747,639,561,655,807
T08:05:00+10:00,381.686747,644,558,651,802
T08:05:00+10:00,381.686747,632,578,667,808
T08:05:00+10:00,381.686747,618,573,678,813
T08:05:00+10:00,381.686747,619,593,670,817
T08:05:00+10:00,381.686747,614,594,666,776
T08:05:00+10:00,381.686747,671,594,661,790
T08:05:00+10:00,381.686747,654,606,659,787
T08:05:00+10:00,493.4939759,652,614,647,779
T08:05:00+10:00,493.4939759,633,620,638,794
T08:05:00+10:00,493.4939759,647,606,636,802
T08:05:00+10:00,493.4939759,638,607,619,816
T08:10:00+10:00,493.4939759,651,607,641,831
T08:10:00+10:00,493.4939759,645,603,660,767
T08:10:00+10:00,493.4939759,602,601,649,748
T08:10:00+10:00,493.4939759,610,606,668,755
T08:10:00+10:00,493.4939759,621,600,679,779
T08:10:00+10:00,493.4939759,612,621,669,808
T08:10:00+10:00,493.4939759,613,588,696,795
T08:10:00+10:00,493.4939759,603,585,663,788
T08:10:00+10:00,493.4939759,663,576,659,833
T08:10:00+10:00,493.4939759,640,574,668,793
T08:10:00+10:00,609.1566265,640,575,640,766
T08:10:00+10:00,609.1566265,635,587,652,780
T08:10:00+10:00,609.1566265,627,638,647,751
T08:10:00+10:00,609.1566265,597,633,667,750
T08:15:00+10:00,609.1566265,615,646,658,755
T08:15:00+10:00,609.1566265,608,628,665,757
T08:15:00+10:00,609.1566265,615,650,663,764
T08:15:00+10:00,609.1566265,610,648,674,776
T08:15:00+10:00,609.1566265,617,647,671,763
T08:15:00+10:00,609.1566265,615,668,656,781
T08:15:00+10:00,609.1566265,615,658,667,809
T08:15:00+10:00,609.1566265,618,656,667,782
T08:15:00+10:00,609.1566265,613,651,678,797
T08:15:00+10:00,609.1566265,614,639,651,782
T08:15:00+10:00,578.313253,616,616,648,777
T08:15:00+10:00,578.313253,608,600,649,750
T08:15:00+10:00,578.313253,614,611,652,740
T08:15:00+10:00,578.313253,604,612,655,742
T08:20:00+10:00,578.313253,608,616,664,742
T08:20:00+10:00,578.313253,615,589,674,738
T08:20:00+10:00,578.313253,596,645,676,738
T08:20:00+10:00,578.313253,623,680,685,743
T08:20:00+10:00,578.313253,618,648,681,736
T08:20:00+10:00,578.313253,615,636,663,774
T08:20:00+10:00,578.313253,614,653,670,769
T08:20:00+10:00,578.313253,624,653,630,761
T08:20:00+10:00,578.313253,588,662,634,752
T08:20:00+10:00,578.313253,588,657,635,762
T08:20:00+10:00,551.3253012,588,652,660,746
T08:20:00+10:00,551.3253012,589,653,658,752
T08:20:00+10:00,551.3253012,590,676,666,749
T08:20:00+10:00,551.3253012,607,679,652,763
T08:20:00+10:00,551.3253012,649,691,662,787
T08:25:00+10:00,551.3253012,636,680,673,787
T08:25:00+10:00,551.3253012,642,675,667,771
T08:25:00+10:00,551.3253012,646,682,648,774
T08:25:00+10:00,551.3253012,649,659,676,765
T08:25:00+10:00,551.3253012,656,654,649,757
T08:25:00+10:00,551.3253012,701,653,650,751
T08:25:00+10:00,551.3253012,691,647,646,793
T08:25:00+10:00,551.3253012,689,657,641,918
T08:25:00+10:00,551.3253012,687,654,639,973
T08:25:00+10:00,763.373494,693,595,640,972
T08:25:00+10:00,763.373494,675,633,636,988
T08:25:00+10:00,763.373494,676,648,641,981
T08:25:00+10:00,763.373494,670,667,638,1048
T08:25:00+10:00,763.373494,678,664,653,962
T08:30:00+10:00,763.373494,675,682,811,958
T08:30:00+10:00,763.373494,645,705,791,983
T08:30:00+10:00,763.373494,658,700,787,974
T08:30:00+10:00,763.373494,650,684,791,991
T08:30:00+10:00,763.373494,647,724,814,948
T08:30:00+10:00,763.373494,646,711,832,962
T08:30:00+10:00,763.373494,647,663,824,997
T08:30:00+10:00,763.373494,659,637,819,946
T08:30:00+10:00,763.373494,664,651,854,996
T08:30:00+10:00,763.373494,675,644,820,1003
T08:30:00+10:00,763.373494,684,662,807,953
T08:30:00+10:00,763.373494,670,672,847,913
T08:30:00+10:00,763.373494,668,672,884,941
T08:30:00+10:00,763.373494,672,691,850,937
T08:35:00+10:00,763.373494,641,691,849,956
T08:35:00+10:00,763.373494,634,689,851,970
T08:35:00+10:00,763.373494,637,686,845,965
T08:35:00+10:00,763.373494,627,686,818,964
T08:35:00+10:00,763.373494,641,614,811,981
T08:35:00+10:00,763.373494,652,609,803,961
T08:35:00+10:00,763.373494,661,614,796,931
T08:35:00+10:00,763.373494,676,613,759,885
T08:35:00+10:00,763.373494,671,618,787,925
T08:35:00+10:00,728.6746988,659,628,827,911
T08:35:00+10:00,728.6746988,662,630,813,893
T08:35:00+10:00,728.6746988,685,627,828,905
T08:35:00+10:00,728.6746988,675,632,824,923
T08:35:00+10:00,728.6746988,666,636,834,964
T08:35:00+10:00,728.6746988,685,642,826,973
T08:40:00+10:00,728.6746988,685,641,805,955
T08:40:00+10:00,728.6746988,673,638,809,970
T08:40:00+10:00,728.6746988,672,633,817,949
T08:40:00+10:00,728.6746988,673,631,783,936
T08:40:00+10:00,728.6746988,680,613,768,948
T08:40:00+10:00,728.6746988,677,621,777,934
T08:40:00+10:00,728.6746988,664,619,775,923
T08:40:00+10:00,728.6746988,654,608,825,928
T08:40:00+10:00,828.9156627,648,615,806,869
T08:40:00+10:00,828.9156627,643,606,802,883
T08:40:00+10:00,828.9156627,657,643,779,877
T08:40:00+10:00,828.9156627,651,660,773,893
T08:40:00+10:00,828.9156627,646,682,790,932
T08:40:00+10:00,828.9156627,678,689,798,926
T08:45:00+10:00,828.9156627,678,828,789,952
T08:45:00+10:00,828.9156627,682,832,786,950
T08:45:00+10:00,828.9156627,684,822,802,956
T08:45:00+10:00,828.9156627,673,835,790,907
T08:45:00+10:00,828.9156627,656,850,785,936
T08:45:00+10:00,828.9156627,657,852,781,984
T08:45:00+10:00,828.9156627,645,854,784,1006
T08:45:00+10:00,828.9156627,659,854,784,1001
T08:45:00+10:00,855.9036145,668,870,793,950
T08:45:00+10:00,855.9036145,653,772,784,917
T08:45:00+10:00,855.9036145,638,778,792,924
T08:45:00+10:00,855.9036145,634,800,783,896
T08:45:00+10:00,855.9036145,636,819,761,891
T08:45:00+10:00,855.9036145,636,815,758,874
T08:50:00+10:00,855.9036145,637,812,757,904
T08:50:00+10:00,855.9036145,633,844,745,870
T08:50:00+10:00,855.9036145,660,862,747,889
T08:50:00+10:00,855.9036145,646,839,746,874
T08:50:00+10:00,855.9036145,643,831,744,851
T08:50:00+10:00,855.9036145,651,819,760,862
T08:50:00+10:00,855.9036145,655,827,766,879
T08:50:00+10:00,855.9036145,661,798,766,884
T08:50:00+10:00,867.4698795,665,795,714,901
T08:50:00+10:00,867.4698795,671,655,713,893
T08:50:00+10:00,867.4698795,594,710,702,901
T08:50:00+10:00,867.4698795,601,721,699,929
T08:50:00+10:00,867.4698795,596,720,698,877
T08:50:00+10:00,867.4698795,587,743,724,905
T08:50:00+10:00,867.4698795,589,758,736,913
T08:55:00+10:00,867.4698795,585,726,711,919
T08:55:00+10:00,867.4698795,585,764,718,990
T08:55:00+10:00,867.4698795,741,700,713,1057
T08:55:00+10:00,867.4698795,798,738,710,1064
T08:55:00+10:00,867.4698795,775,710,720,1061
T08:55:00+10:00,867.4698795,784,720,710,1070
T08:55:00+10:00,867.4698795,788,695,690,1081
T08:55:00+10:00,940.7228916,795,691,701,1044
T08:55:00+10:00,940.7228916,769,707,712,1041
T08:55:00+10:00,940.7228916,703,735,709,1031
T08:55:00+10:00,940.7228916,688,717,882,1151
T08:55:00+10:00,940.7228916,688,679,889,1061
T08:55:00+10:00,940.7228916,672,731,922,1072
T08:55:00+10:00,940.7228916,736,714,903,1066
T09:00:00+10:00,940.7228916,774,698,915,1073
T09:00:00+10:00,940.7228916,760,690,928,1063
T09:00:00+10:00,940.7228916,754,678,919,1059
T09:00:00+10:00,940.7228916,772,678,893,1051
T09:00:00+10:00,940.7228916,773,681,847,1065
T09:00:00+10:00,940.7228916,778,677,883,1046
T09:00:00+10:00,940.7228916,799,671,889,1048
T09:00:00+10:00,786.5060241,794,702,880,1049
T09:00:00+10:00,786.5060241,762,721,889,1059
T09:00:00+10:00,786.5060241,772,713,920,1065
T09:00:00+10:00,786.5060241,764,696,917,1055
T09:00:00+10:00,786.5060241,773,696,911,1066
T09:00:00+10:00,786.5060241,779,676,922,1075
T09:00:00+10:00,786.5060241,763,653,884,1099
T09:05:00+10:00,786.5060241,769,680,877,1102
T09:05:00+10:00,786.5060241,776,710,856,1095
T09:05:00+10:00,786.5060241,764,711,844,1063
T09:05:00+10:00,786.5060241,747,714,848,1050
T09:05:00+10:00,786.5060241,724,696,858,981
T09:05:00+10:00,786.5060241,730,697,900,960
T09:05:00+10:00,786.5060241,693,697,889,975
T09:05:00+10:00,963.8554217,684,650,903,973
T09:05:00+10:00,963.8554217,688,606,871,979
T09:05:00+10:00,963.8554217,723,614,864,997
T09:05:00+10:00,963.8554217,743,682,847,1035
T09:05:00+10:00,963.8554217,749,689,884,1023
T09:05:00+10:00,963.8554217,743,689,860,1021
T09:05:00+10:00,963.8554217,727,682,834,1030
T09:10:00+10:00,963.8554217,736,674,842,1010
T09:10:00+10:00,963.8554217,714,689,836,1076
T09:10:00+10:00,963.8554217,726,694,894,1101
T09:10:00+10:00,963.8554217,691,721,875,1062
T09:10:00+10:00,963.8554217,685,655,888,1055
T09:10:00+10:00,963.8554217,685,699,875,1028
T09:10:00+10:00,963.8554217,699,655,862,1055
T09:10:00+10:00,1025.542169,708,626,848,974
T09:10:00+10:00,1025.542169,740,624,860,955
T09:10:00+10:00,1025.542169,686,633,869,969
T09:10:00+10:00,1025.542169,705,642,921,964
T09:10:00+10:00,1025.542169,726,834,913,934
T09:10:00+10:00,1025.542169,714,838,894,939
