api_time,greenpower,Early5Min,Early15Min,Early30Min,Early1Hour
T00:00:00+10:00,0,331,332,327,325
T00:00:00+10:00,0,329,330,332,335
T00:00:00+10:00,0,344,350,331,337
T00:00:00+10:00,0,491,470,357,335
T00:00:00+10:00,0,514,499,499,469
T00:00:00+10:00,0,518,488,503,492
T00:00:00+10:00,0,510,490,503,520
T00:00:00+10:00,0,514,489,507,525
T00:00:00+10:00,0,508,488,501,524
T00:00:00+10:00,0,507,473,515,523
T00:00:00+10:00,0,497,495,512,510
T00:00:00+10:00,0,505,490,515,493
T00:05:00+10:00,0,500,485,516,481
T00:05:00+10:00,0,500,489,520,481
T00:05:00+10:00,0,490,509,518,477
T00:05:00+10:00,0,500,515,511,481
T00:05:00+10:00,0,482,516,505,491
T00:05:00+10:00,0,482,522,500,512
T00:05:00+10:00,0,484,524,499,512
T00:05:00+10:00,0,484,519,497,508
T00:05:00+10:00,0,477,524,500,514
T00:05:00+10:00,0,479,530,511,507
T00:05:00+10:00,0,472,516,516,515
T00:05:00+10:00,0,472,511,510,496
T00:05:00+10:00,0,469,516,509,498
T00:05:00+10:00,0,476,518,511,498
T00:10:00+10:00,0,482,497,510,499
T00:10:00+10:00,0,496,499,487,505
T00:10:00+10:00,0,469,501,481,509
T00:10:00+10:00,0,462,501,500,493
T00:10:00+10:00,0,471,503,509,497
T00:10:00+10:00,0,518,497,510,493
T00:10:00+10:00,0,521,494,532,494
T00:10:00+10:00,0,529,510,544,501
T00:10:00+10:00,0,520,499,535,516
T00:10:00+10:00,0,521,507,537,505
T00:10:00+10:00,0,521,504,537,506
T00:10:00+10:00,0,471,504,533,503
T00:10:00+10:00,0,475,498,519,481
T00:10:00+10:00,0,479,504,539,500
T00:15:00+10:00,0,476,495,524,532
T00:15:00+10:00,0,475,490,529,519
T00:15:00+10:00,0,525,498,520,512
T00:15:00+10:00,0,534,498,506,487
T00:15:00+10:00,0,535,500,509,481
T00:15:00+10:00,0,535,511,525,493
T00:15:00+10:00,0,537,510,520,505
T00:15:00+10:00,0,538,504,520,492
T00:15:00+10:00,0,488,504,520,486
T00:15:00+10:00,0,490,509,510,508
T00:15:00+10:00,0,504,496,494,515
T00:15:00+10:00,0,502,510,492,518
T00:15:00+10:00,0,504,495,492,527
T00:15:00+10:00,0,513,497,489,518
T00:20:00+10:00,0,519,487,505,518
T00:20:00+10:00,0,510,489,501,528
T00:20:00+10:00,0,508,506,500,523
T00:20:00+10:00,0,511,521,502,538
T00:20:00+10:00,0,511,525,495,547
T00:20:00+10:00,0,494,510,499,537
T00:20:00+10:00,0,496,515,512,537
T00:20:00+10:00,0,502,507,508,519
T00:20:00+10:00,0,499,514,518,508
T00:20:00+10:00,0,502,517,524,507
T00:20:00+10:00,0,501,517,514,515
T00:20:00+10:00,0,531,514,512,505
T00:20:00+10:00,0,530,516,514,496
T00:20:00+10:00,0,526,512,504,488
T00:20:00+10:00,0,535,508,512,492
T00:25:00+10:00,0,531,512,510,495
T00:25:00+10:00,0,503,508,505,497
T00:25:00+10:00,0,492,502,492,492
T00:25:00+10:00,0,489,508,491,516
T00:25:00+10:00,0,494,504,487,511
T00:25:00+10:00,0,491,510,498,522
T00:25:00+10:00,0,489,513,509,522
T00:25:00+10:00,0,476,512,500,530
T00:25:00+10:00,0,485,487,518,522
T00:25:00+10:00,0,491,493,516,539
T00:25:00+10:00,0,492,484,514,531
T00:25:00+10:00,0,488,461,505,536
T00:25:00+10:00,0,458,476,518,538
T00:25:00+10:00,0,495,507,486,540
T00:30:00+10:00,0,512,507,480,479
T00:30:00+10:00,0,517,505,483,473
T00:30:00+10:00,0,515,508,487,474
T00:30:00+10:00,0,515,507,496,470
T00:30:00+10:00,0,519,515,498,476
T00:30:00+10:00,0,521,505,502,484
T00:30:00+10:00,0,510,510,503,503
T00:30:00+10:00,0,512,507,494,511
T00:30:00+10:00,0,508,502,498,510
T00:30:00+10:00,0,513,504,501,513
T00:30:00+10:00,0,495,497,508,513
T00:30:00+10:00,0,500,509,501,519
T00:30:00+10:00,0,505,503,510,510
T00:30:00+10:00,0,500,500,499,501
T00:35:00+10:00,0,503,503,484,502
T00:35:00+10:00,0,504,509,487,512
T00:35:00+10:00,0,482,518,531,520
T00:35:00+10:00,0,493,522,522,538
T00:35:00+10:00,0,495,520,521,531
T00:35:00+10:00,0,497,525,522,530
T00:35:00+10:00,0,493,521,528,531
T00:35:00+10:00,0,510,517,528,528
T00:35:00+10:00,0,515,460,510,530
T00:35:00+10:00,0,523,459,499,535
T00:35:00+10:00,0,520,487,493,524
T00:35:00+10:00,0,521,496,486,523
T00:35:00+10:00,0,518,495,489,515
T00:35:00+10:00,0,515,508,496,508
T00:35:00+10:00,0,511,520,509,491
T00:40:00+10:00,0,504,518,489,506
T00:40:00+10:00,0,502,524,493,494
T00:40:00+10:00,0,498,522,500,492
T00:40:00+10:00,0,496,522,503,498
T00:40:00+10:00,0,501,535,515,490
T00:40:00+10:00,0,499,538,541,484
T00:40:00+10:00,0,503,535,532,498
T00:40:00+10:00,0,503,535,530,487
T00:40:00+10:00,0,503,532,529,488
T00:40:00+10:00,0,499,538,532,479
T00:40:00+10:00,0,499,499,510,487
T00:40:00+10:00,0,506,505,514,497
T00:40:00+10:00,0,505,501,514,503
T00:40:00+10:00,0,501,497,502,499
T00:45:00+10:00,0,504,496,503,503
T00:45:00+10:00,0,504,483,501,508
T00:45:00+10:00,0,503,467,496,504
T00:45:00+10:00,0,496,467,503,498
T00:45:00+10:00,0,500,450,502,505
T00:45:00+10:00,0,490,447,498,494
T00:45:00+10:00,0,493,478,495,496
T00:45:00+10:00,0,505,499,516,502
T00:45:00+10:00,0,519,495,527,501
T00:45:00+10:00,0,518,501,530,494
T00:45:00+10:00,0,527,505,529,491
T00:45:00+10:00,0,515,515,524,469
T00:45:00+10:00,0,512,504,528,496
