api_time,greenpower,Early5Min,Early15Min,Early30Min,Early1Hour
T07:00:00+10:00,0,520,507,489,505
T07:00:00+10:00,0,522,504,488,503
T07:00:00+10:00,0,523,500,490,509
T07:00:00+10:00,0,519,513,507,497
T07:00:00+10:00,0,518,499,516,492
T07:00:00+10:00,0,520,498,518,487
T07:00:00+10:00,0,531,496,519,493
T07:00:00+10:00,0,525,503,522,489
T07:00:00+10:00,0,511,506,502,495
T07:00:00+10:00,0,508,510,496,491
T07:00:00+10:00,0,507,519,500,488
T07:00:00+10:00,0,509,521,493,487
T07:00:00+10:00,0,510,520,493,484
T07:00:00+10:00,0,507,515,500,489
T07:05:00+10:00,0,513,512,496,481
T07:05:00+10:00,0,517,523,495,489
T07:05:00+10:00,0,512,504,509,500
T07:05:00+10:00,0,514,503,502,489
T07:05:00+10:00,0,515,507,498,488
T07:05:00+10:00,0,524,517,500,490
T07:05:00+10:00,0,529,515,521,490
T07:05:00+10:00,0,528,522,520,496
T07:05:00+10:00,0,528,520,528,501
T07:05:00+10:00,0,531,519,516,501
T07:05:00+10:00,0,532,523,514,497
T07:05:00+10:00,0,492,519,493,503
T07:05:00+10:00,0,494,494,480,499
T07:05:00+10:00,0,494,490,489,527
T07:10:00+10:00,0,490,477,499,531
T07:10:00+10:00,0,496,477,484,530
T07:10:00+10:00,0,519,472,487,532
T07:10:00+10:00,0,526,479,483,536
T07:10:00+10:00,0,526,495,487,515
T07:10:00+10:00,0,526,514,481,512
T07:10:00+10:00,0,524,500,500,510
T07:10:00+10:00,0,529,510,497,510
T07:10:00+10:00,0,521,506,492,513
T07:10:00+10:00,0,508,513,496,508
T07:10:00+10:00,0,506,501,496,511
T07:10:00+10:00,0,511,512,498,509
T07:10:00+10:00,0,509,491,503,511
T07:10:00+10:00,0,501,494,496,507
T07:10:00+10:00,0,511,501,535,516
T07:15:00+10:00,0,508,513,541,519
T07:15:00+10:00,0,502,474,538,520
T07:15:00+10:00,0,506,491,539,521
T07:15:00+10:00,0,509,475,544,533
T07:15:00+10:00,0,516,472,541,519
T07:15:00+10:00,0,516,471,515,509
T07:15:00+10:00,0,518,513,515,511
T07:15:00+10:00,0,517,515,509,522
T07:15:00+10:00,0,521,523,510,529
T07:15:00+10:00,0,519,518,523,524
T07:15:00+10:00,0,510,518,510,519
T07:15:00+10:00,0,524,518,506,529
T07:15:00+10:00,0,507,526,523,508
T07:15:00+10:00,0,507,521,517,505
T07:20:00+10:00,0,505,535,511,518
T07:20:00+10:00,0,505,526,512,504
T07:20:00+10:00,0,492,528,528,510
T07:20:00+10:00,0,505,523,522,507
T07:20:00+10:00,0,496,516,525,494
T07:20:00+10:00,0,494,522,528,492
T07:20:00+10:00,0,491,529,532,503
T07:20:00+10:00,0,470,518,527,503
T07:20:00+10:00,0,464,517,517,500
T07:20:00+10:00,0,470,512,524,495
T07:20:00+10:00,0,460,516,528,508
T07:20:00+10:00,0,461,501,526,508
T07:20:00+10:00,0,457,509,529,511
T07:20:00+10:00,0,501,516,509,510
T07:25:00+10:00,0,503,514,505,518
T07:25:00+10:00,0,499,534,491,514
T07:25:00+10:00,0,504,528,498,527
T07:25:00+10:00,0,505,531,479,518
T07:25:00+10:00,0,508,537,480,516
T07:25:00+10:00,0,516,523,497,526
T07:25:00+10:00,0,518,529,503,525
T07:25:00+10:00,0,513,509,512,505
T07:25:00+10:00,0,516,512,516,505
T07:25:00+10:00,0,516,508,509,503
T07:25:00+10:00,0,481,504,510,500
T07:25:00+10:00,0,471,511,509,509
T07:25:00+10:00,0,470,483,512,502
T07:25:00+10:00,0,465,479,514,539
T07:25:00+10:00,0,471,489,516,536
T07:30:00+10:00,0,468,478,518,540
T07:30:00+10:00,0,498,489,522,540
T07:30:00+10:00,0,496,483,513,551
T07:30:00+10:00,0,485,487,511,526
T07:30:00+10:00,0,491,484,510,528
T07:30:00+10:00,0,499,489,512,514
T07:30:00+10:00,0,493,512,507,518
T07:30:00+10:00,0,483,501,509,521
T07:30:00+10:00,0,484,509,523,530
T07:30:00+10:00,0,484,521,524,506
T07:30:00+10:00,0,483,517,525,519
T07:30:00+10:00,0,500,518,526,501
T07:30:00+10:00,0,489,533,507,505
T07:30:00+10:00,0,508,522,503,501
T07:35:00+10:00,9.2219024,505,524,493,525
T07:35:00+10:00,9.2219024,500,525,496,530
T07:35:00+10:00,9.2219024,502,525,489,530
T07:35:00+10:00,9.2219024,513,520,501,530
T07:35:00+10:00,9.2219024,502,531,488,527
T07:35:00+10:00,9.2219024,504,520,488,529
T07:35:00+10:00,9.2219024,503,501,490,516
T07:35:00+10:00,9.2219024,504,499,496,508
T07:35:00+10:00,9.2219024,509,496,495,514
T07:35:00+10:00,9.2219024,503,502,500,516
T07:35:00+10:00,9.2219024,495,514,501,482
T07:35:00+10:00,9.2219024,496,497,499,458
T07:35:00+10:00,9.2219024,496,493,504,474
T07:35:00+10:00,9.2219024,494,491,510,476
T07:40:00+10:00,27.6657056,494,488,507,481
T07:40:00+10:00,27.6657056,531,496,496,492
T07:40:00+10:00,27.6657056,515,504,506,630
T07:40:00+10:00,27.6657056,518,536,504,647
T07:40:00+10:00,27.6657056,516,535,502,620
T07:40:00+10:00,27.6657056,517,535,501,619
T07:40:00+10:00,27.6657056,514,538,500,630
T07:40:00+10:00,27.6657056,530,537,523,628
T07:40:00+10:00,27.6657056,519,546,523,642
T07:40:00+10:00,27.6657056,509,524,528,612
T07:40:00+10:00,27.6657056,513,530,527,616
T07:40:00+10:00,27.6657056,518,529,539,636
T07:40:00+10:00,27.6657056,527,529,527,630
T07:40:00+10:00,27.6657056,527,527,508,627
T07:45:00+10:00,41.4985584,518,514,508,629
T07:45:00+10:00,41.4985584,520,511,508,620
T07:45:00+10:00,41.4985584,520,510,512,628
T07:45:00+10:00,41.4985584,525,506,527,625
T07:45:00+10:00,41.4985584,515,503,535,627
T07:45:00+10:00,41.4985584,526,500,554,626
T07:45:00+10:00,41.4985584,523,477,534,616
T07:45:00+10:00,41.4985584,521,473,537,615
T07:45:00+10:00,41.4985584,520,474,530,617
T07:45:00+10:00,41.4985584,517,486,530,614
T07:45:00+10:00,41.4985584,522,478,490,624
T07:45:00+10:00,41.4985584,528,487,503,627
T07:45:00+10:00,41.4985584,525,527,492,649
T07:45:00+10:00,41.4985584,523,528,508,655
T07:45:00+10:00,46.1095104,523,528,503,653
T07:50:00+10:00,46.1095104,520,525,520,659
T07:50:00+10:00,46.1095104,525,517,535,641
T07:50:00+10:00,46.1095104,538,498,519,623
T07:50:00+10:00,46.1095104,533,496,516,613
T07:50:00+10:00,46.1095104,525,497,510,622
T07:50:00+10:00,46.1095104,520,499,513,621
T07:50:00+10:00,46.1095104,514,509,544,628
T07:50:00+10:00,46.1095104,520,508,537,672
T07:50:00+10:00,46.1095104,529,516,537,674
T07:50:00+10:00,46.1095104,524,517,553,629
T07:50:00+10:00,46.1095104,517,528,538,590
T07:50:00+10:00,46.1095104,517,507,540,597
T07:50:00+10:00,46.1095104,496,511,512,556
T07:50:00+10:00,69.1642656,497,506,518,566
T07:55:00+10:00,69.1642656,514,505,510,573
T07:55:00+10:00,69.1642656,502,512,514,602
T07:55:00+10:00,69.1642656,496,520,498,602
T07:55:00+10:00,69.1642656,502,515,503,613
T07:55:00+10:00,69.1642656,486,508,505,601
T07:55:00+10:00,69.1642656,478,502,525,605
T07:55:00+10:00,69.1642656,495,512,504,606
T07:55:00+10:00,69.1642656,494,508,519,585
T07:55:00+10:00,69.1642656,480,519,516,578
T07:55:00+10:00,69.1642656,499,519,516,579
T07:55:00+10:00,69.1642656,501,515,516,578
T07:55:00+10:00,69.1642656,502,512,527,571
T07:55:00+10:00,69.1642656,511,518,518,577
T07:55:00+10:00,96.8299712,514,520,512,586
T08:00:00+10:00,96.8299712,504,526,526,583
T08:00:00+10:00,96.8299712,526,510,517,578
T08:00:00+10:00,96.8299712,527,507,514,584
T08:00:00+10:00,96.8299712,529,506,504,574
T08:00:00+10:00,96.8299712,538,498,510,557
T08:00:00+10:00,96.8299712,534,499,507,555
